frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
1,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
2,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
3,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
4,True,True,0.000000,0.000000,0.310000,0.000000,19.520000,-1.091000,0.000000,295.920990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000110,0.000000
5,False,False,0.000000,0.000000,0.310000,0.000000,22.020000,0.491000,0.000000,299.941010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
6,False,False,0.000000,0.000000,0.310000,0.000000,24.549999,0.071000,0.000000,303.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
7,False,False,0.000000,0.000000,0.310000,0.000000,27.019999,-0.011000,0.000000,295.830994,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
8,False,False,0.000000,0.000000,0.310000,0.000000,29.420000,0.000000,0.000000,287.700989,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
9,False,False,0.000000,0.000000,0.310000,0.000000,31.750000,0.000000,0.000000,279.571014,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
10,False,False,0.000000,0.000000,0.310000,0.000000,34.009998,0.000000,0.000000,271.441010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
11,False,False,0.000000,0.000000,0.310000,0.000000,36.230000,0.000000,0.000000,266.020996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
12,False,False,0.000000,0.000000,0.310000,0.000000,38.399998,0.000000,0.000000,260.601013,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
13,False,False,0.000000,0.000000,0.310000,0.000000,40.529999,0.000000,0.000000,255.181000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
14,False,False,0.000000,0.000000,0.310000,0.000000,42.610001,0.000000,0.000000,249.761002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
15,False,False,0.000000,0.000000,0.310000,0.000000,44.649998,0.000000,0.000000,244.341003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
16,False,False,0.000000,0.000000,0.310000,0.000000,46.639999,0.000000,0.000000,238.921005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
17,False,False,0.000000,0.000000,0.310000,0.000000,48.590000,0.000000,0.000000,233.501007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
18,False,False,0.000000,0.000000,0.310000,0.000000,50.489998,0.000000,0.000000,228.081009,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
19,False,False,0.000000,0.000000,0.310000,0.000000,52.349998,0.000000,0.000000,222.660995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
20,False,False,0.000000,0.000000,0.310000,0.000000,54.160000,0.000000,0.000000,217.240997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
21,False,False,0.000000,0.000000,0.310000,0.000000,55.930000,0.000000,0.000000,211.820999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
22,False,False,0.000000,0.000000,0.310000,0.000000,57.649998,0.000000,0.000000,206.401001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
23,False,False,0.000000,0.000000,0.310000,0.000000,59.320000,0.000000,0.000000,200.981003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
24,False,False,0.000000,0.000000,0.310000,0.000000,60.949997,0.000000,0.000000,195.561005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
25,False,False,0.000000,0.000000,0.310000,0.000000,62.529999,0.000000,0.000000,190.141006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
26,False,False,0.000000,0.000000,0.310000,0.000000,64.070000,0.000000,0.000000,184.721008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
27,False,False,0.000000,0.000000,0.310000,0.000000,65.559998,0.000000,0.000000,179.301010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
28,False,False,0.000000,0.000000,0.310000,0.000000,67.010002,0.000000,0.000000,173.880997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
29,False,False,0.000000,0.000000,0.310000,0.000000,68.409996,0.000000,0.000000,168.460999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
30,False,False,0.000000,0.000000,0.310000,0.000000,69.769997,0.000000,0.000000,163.041000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
