frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.321000,-0.005948,0.005948,0.707089,0.707074,0.000510,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.479980,17.049999,0.000000,21.580999,0.181000,-0.005942,0.005942,0.707089,0.707074,0.001610,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.120117,17.049999,0.000000,42.990997,0.081000,-0.005937,0.005937,0.707089,0.707074,0.002210,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4498.580078,17.049999,0.000000,64.210999,0.021000,-0.005932,0.005932,0.707089,0.707074,0.002510,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4497.870117,17.049999,0.000000,85.250999,-0.021000,-0.005926,0.005926,0.707089,0.707074,0.002710,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4496.989746,17.049999,0.000000,106.111000,-0.051000,-0.005915,0.005915,0.707090,0.707074,0.002810,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4495.929688,17.049999,0.000000,126.791000,-0.071000,-0.005905,0.005905,0.707090,0.707074,0.002810,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4494.699707,17.049999,0.000000,147.301010,-0.081000,-0.005899,0.005899,0.707090,0.707074,0.002610,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4493.299805,17.049999,0.000000,167.630997,-0.091000,-0.005894,0.005894,0.707090,0.707074,0.002410,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4491.729980,17.049999,0.000000,187.791000,-0.101000,-0.005888,0.005888,0.707090,0.707074,0.002210,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4490.000000,17.049999,0.000000,207.770996,-0.111000,-0.005883,0.005883,0.707090,0.707074,0.002010,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4488.100098,17.049999,0.000000,227.581009,-0.111000,-0.005878,0.005878,0.707090,0.707074,0.001810,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4486.040039,17.049999,0.000000,247.221008,-0.111000,-0.005872,0.005872,0.707090,0.707074,0.001510,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4483.819824,17.049999,0.000000,266.691010,-0.111000,-0.005867,0.005867,0.707090,0.707074,0.001210,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4481.439941,17.049999,0.000000,286.001007,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000910,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4478.899902,17.049999,0.000000,305.140991,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000610,0.000000,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4476.199707,17.049999,0.000000,324.121002,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000410,0.000000,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4473.339844,17.049999,0.000000,342.931000,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000210,0.000000,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4470.330078,17.049999,0.000000,361.580994,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000000,0.000000,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4467.159668,17.049999,0.000000,380.070984,-0.111000,-0.005861,0.005861,0.707091,0.707074,0.000000,0.000000,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4463.839844,17.049999,0.000000,398.401001,-0.111000,-0.005861,0.005861,0.707091,0.707074,-0.000110,0.000000,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4460.370117,17.049999,0.000000,416.580994,-0.111000,-0.005861,0.005861,0.707091,0.707074,-0.000210,0.000000,0.000000
22,False,True,True,0.000000,1.000000,-2000.000000,-4456.750000,17.049999,0.000000,434.600983,-0.111000,-0.005861,0.005861,0.707091,0.707074,-0.000210,0.000000,0.000000
