frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.329956,0.000000,0.141000,78.760994,0.500898,-0.500884,0.499110,0.499104,0.042310,0.000000,0.000110,0.000000,-0.010000,1044.619995,0.000000,-0.841000,78.640999,-0.000094,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
2,False,False,1.000000,0.000000,0.000000,3.010000,892.469971,0.000000,0.131000,73.890999,0.501048,-0.501036,0.498959,0.498953,0.041210,0.000000,0.000110,0.000000,-0.120000,1054.630005,0.000000,-9.331000,137.621002,-0.000192,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
3,False,False,1.000000,0.000000,0.000000,3.010000,892.809998,0.000000,0.121000,69.020996,0.501139,-0.501127,0.498867,0.498861,0.040210,0.000000,0.000110,0.000000,-0.200000,1057.150024,0.000000,-9.321000,132.161011,-0.000289,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
4,False,False,1.000000,0.000000,0.000000,3.010000,893.339966,0.000000,0.111000,64.151001,0.501219,-0.501208,0.498786,0.498781,0.039210,0.000000,0.000110,0.000000,-0.310000,1058.549927,0.000000,-12.761000,168.441010,-0.000386,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
5,False,False,1.000000,0.000000,0.000000,3.010000,893.829956,0.000000,0.101000,59.280998,0.501299,-0.501289,0.498705,0.498700,0.038210,0.000000,0.000110,0.000000,-0.420000,1059.910034,0.000000,-12.751000,162.981003,-0.000483,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
6,False,False,1.000000,0.000000,0.000000,3.010000,894.279968,0.000000,0.091000,54.410999,0.501374,-0.501365,0.498629,0.498624,0.037210,0.000000,0.000110,0.000000,-0.570000,1061.789917,0.000000,-18.570999,225.550995,-0.000580,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
7,False,False,1.000000,0.000000,0.000000,3.010000,894.690002,0.000000,0.081000,49.540997,0.501449,-0.501440,0.498554,0.498549,0.036310,0.000000,0.000110,0.000000,-0.720000,1063.619995,0.000000,-18.560999,220.070999,-0.000677,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
8,False,False,1.000000,0.000000,0.000000,3.010000,895.059998,0.000000,0.071000,44.670998,0.501523,-0.501516,0.498478,0.498473,0.035410,0.000000,0.000110,0.000000,-0.870000,1065.410034,0.000000,-18.550999,214.591003,-0.000774,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
9,False,False,1.000000,0.000000,0.000000,3.010000,895.389954,0.000000,0.061000,39.800999,0.501593,-0.501586,0.498408,0.498403,0.034510,0.000000,0.000110,0.000000,-1.020000,1067.150024,0.000000,-18.540998,209.111008,-0.000871,0.000003,0.000003,1.000000,-0.023110,0.000000,0.000000
10,False,False,1.000000,0.000000,0.000000,3.010000,895.679993,0.000000,0.051000,34.931000,0.501662,-0.501656,0.498338,0.498333,0.033610,0.000000,0.000110,0.000000,-1.170000,1068.849976,0.000000,-18.530998,203.641006,-0.000968,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
11,False,False,1.000000,0.000000,0.000000,3.010000,895.929993,0.000000,0.041000,30.060999,0.501731,-0.501726,0.498268,0.498263,0.032810,0.000000,0.000110,0.000000,-1.320000,1070.500000,0.000000,-18.521000,198.171005,-0.001065,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
12,False,False,1.000000,0.000000,0.000000,3.010000,896.139954,0.000000,0.031000,25.190998,0.501795,-0.501791,0.498203,0.498198,0.032010,0.000000,0.000110,0.000000,-1.470000,1072.109985,0.000000,-18.511000,192.701004,-0.001163,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
13,False,False,1.000000,0.000000,0.000000,3.010000,896.309998,0.000000,0.021000,20.320999,0.501859,-0.501856,0.498139,0.498133,0.031210,0.000000,0.000110,0.000000,-1.620000,1073.669922,0.000000,-18.500999,187.231003,-0.001260,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
14,False,False,1.000000,0.000000,0.000000,3.010000,896.440002,0.000000,0.011000,15.451000,0.501923,-0.501920,0.498074,0.498068,0.030410,0.000000,0.000110,0.000000,-1.770000,1075.179932,0.000000,-18.490999,181.761002,-0.001357,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
15,False,False,1.000000,0.000000,0.000000,3.010000,896.529968,0.000000,0.000000,10.581000,0.501986,-0.501980,0.498014,0.498004,0.029610,0.000000,0.000110,0.000000,-1.920000,1076.650024,0.000000,-18.480999,176.291000,-0.001454,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
16,False,False,1.000000,0.000000,0.000000,3.010000,896.579956,0.000000,0.000000,5.711000,0.502045,-0.502039,0.497955,0.497944,0.028910,0.000000,0.000110,0.000000,-2.070000,1078.069946,0.000000,-18.470999,170.820999,-0.001551,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
17,False,False,1.000000,0.000000,0.000000,3.010000,896.589966,0.000000,0.000000,0.841000,0.502103,-0.502098,0.497896,0.497885,0.028210,0.000000,0.000110,0.000000,-2.220000,1079.449951,0.000000,-18.460999,165.361008,-0.001648,0.000003,0.000003,0.999999,-0.023110,0.000000,0.000000
18,False,False,1.000000,0.000000,0.000000,3.010000,896.559998,0.000000,0.000000,-4.021000,0.502161,-0.502158,0.497836,0.497826,0.027510,0.000000,0.000110,0.000000,-2.370000,1080.780029,0.000000,-18.450998,159.901001,-0.001745,0.000003,0.000003,0.999998,-0.023110,0.000000,0.000000
19,False,False,1.000000,0.000000,0.000000,3.010000,896.489990,0.000000,0.000000,-8.881001,0.502214,-0.502212,0.497782,0.497772,0.026810,0.000000,0.000110,0.000000,-2.520000,1082.069946,0.000000,-18.441000,154.441010,-0.001842,0.000003,0.000003,0.999998,-0.023110,0.000000,0.000000
20,False,False,1.000000,0.000000,0.000000,3.010000,896.380005,0.000000,0.000000,-13.741000,0.502267,-0.502266,0.497729,0.497718,0.026110,0.000000,0.000110,0.000000,-2.670000,1083.309937,0.000000,-18.431000,148.981003,-0.001939,0.000003,0.000003,0.999998,-0.023110,0.000000,0.000000
21,False,False,1.000000,0.000000,0.000000,3.010000,896.229980,0.000000,0.000000,-18.601000,0.502320,-0.502319,0.497675,0.497664,0.025410,0.000000,0.000110,0.000000,-2.820000,1084.510010,0.000000,-18.421000,143.521011,-0.002037,0.000003,0.000003,0.999998,-0.023110,0.000000,0.000000
22,True,True,1.000000,0.095000,0.000000,3.010000,896.099976,0.000000,-0.081000,-15.191000,0.502394,-0.502390,0.497604,0.497588,0.034610,0.000000,0.000110,0.000000,-2.970000,1085.660034,0.000000,-18.410999,138.061005,-0.002134,0.000003,0.000003,0.999998,-0.023110,0.000000,0.000000
23,True,True,1.000000,0.095000,0.000000,3.010000,896.000000,0.000000,-0.161000,-11.781000,0.502484,-0.502481,0.497513,0.497497,0.043610,0.000000,0.000110,0.000000,-3.120000,1086.770020,0.000000,-18.400999,132.600998,-0.002231,0.000003,0.000003,0.999997,-0.023110,0.000000,0.000000
24,True,True,1.000000,0.095000,0.000000,3.010000,895.929993,0.000000,-0.241000,-8.371000,0.502590,-0.502589,0.497405,0.497389,0.052410,0.000000,0.000110,0.000000,-3.270000,1087.829956,0.000000,-18.390999,127.150993,-0.002328,0.000003,0.000003,0.999997,-0.023110,0.000000,0.000000
25,True,True,1.000000,0.095000,0.000000,3.010000,895.889954,0.000000,-0.331000,-4.961000,0.502722,-0.502713,0.497275,0.497259,0.061010,0.000000,0.000110,0.000000,-3.420000,1088.839966,0.000000,-18.380999,121.700996,-0.002425,0.000003,0.000003,0.999997,-0.023110,0.000000,0.000000
26,True,True,1.000000,0.095000,0.000000,3.010000,895.880005,0.000000,-0.421000,-1.551000,0.502865,-0.502859,0.497130,0.497113,0.069410,0.000000,0.000110,0.000000,-3.570000,1089.809937,0.000000,-18.370998,116.250999,-0.002522,0.000003,0.000003,0.999997,-0.023110,0.000000,0.000000
27,True,True,1.000000,0.095000,0.000000,3.010000,895.899963,0.000000,-0.521000,1.851000,0.503023,-0.503021,0.496968,0.496952,0.077710,0.000000,0.000110,0.000000,-3.720000,1090.729980,0.000000,-18.360998,110.800995,-0.002619,0.000003,0.000003,0.999997,-0.023110,0.000000,0.000000
28,True,True,1.000000,0.095000,0.000000,3.000000,895.940002,0.000000,-0.621000,5.251000,0.503197,-0.503199,0.496790,0.496774,0.085810,0.000000,0.000110,0.000000,-3.870000,1091.609985,0.000000,-18.351000,105.350998,-0.002716,0.000003,0.000003,0.999996,-0.023110,0.000000,0.000000
29,True,True,1.000000,0.095000,0.000000,2.990000,896.010010,0.000000,-0.731000,8.651000,-0.503393,0.503386,-0.496596,-0.496579,0.093710,0.000000,0.000110,0.000000,-4.020000,1092.439941,0.000000,-18.341000,99.901001,-0.002813,0.000003,0.000003,0.999996,-0.023110,0.000000,0.000000
30,True,True,1.000000,0.095000,0.000000,2.980000,896.109985,0.000000,-0.851000,12.051001,0.503601,-0.503593,0.496385,0.496369,0.101410,0.000000,0.000110,0.000000,-4.170000,1093.229980,0.000000,-18.330999,94.450996,-0.002910,0.000003,0.000003,0.999996,-0.023110,0.000000,0.000000
31,True,True,1.000000,0.095000,0.000000,2.970000,896.239990,0.000000,-0.971000,15.451000,0.503821,-0.503819,0.496159,0.496142,0.109010,0.000000,0.000110,0.000000,-4.320000,1093.969971,0.000000,-18.320999,89.010994,-0.003008,0.000003,0.000003,0.999995,-0.023110,0.000000,0.000000
