frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-4499.659668,18.330000,0.000000,-0.011000,0.311000,-0.006050,0.006050,0.707074,0.707087,0.000610,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,-4499.479980,18.330000,0.000000,21.580999,0.171000,-0.006045,0.006045,0.707074,0.707087,0.001710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,-4499.120117,18.330000,0.000000,42.990997,0.071000,-0.006040,0.006039,0.707074,0.707088,0.002310,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,-4498.580078,18.330000,0.000000,64.210999,0.000000,-0.006034,0.006034,0.707074,0.707088,0.002610,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,-4497.870117,18.330000,0.000000,85.250999,-0.041000,-0.006023,0.006023,0.707074,0.707088,0.002810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,-4496.989746,18.330000,0.000000,106.111000,-0.071000,-0.006013,0.006013,0.707074,0.707088,0.002810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,-4495.929688,18.330000,0.000000,126.791000,-0.091000,-0.006002,0.006002,0.707074,0.707088,0.002710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,-4494.699707,18.330000,0.000000,147.301010,-0.111000,-0.005996,0.005996,0.707074,0.707088,0.002510,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,True,True,1.000000,0.000000,-4493.299805,18.330000,0.000000,167.630997,-0.121000,-0.005991,0.005991,0.707074,0.707088,0.002310,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,True,True,1.000000,0.000000,-4491.729980,18.330000,0.000000,187.791000,-0.131000,-0.005986,0.005986,0.707074,0.707088,0.002110,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,True,True,1.000000,0.000000,-4490.000000,18.330000,0.000000,207.770996,-0.131000,-0.005980,0.005980,0.707074,0.707089,0.001910,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,True,True,1.000000,0.000000,-4488.100098,18.330000,0.000000,227.581009,-0.131000,-0.005975,0.005975,0.707074,0.707089,0.001610,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,True,True,1.000000,0.000000,-4486.040039,18.330000,0.000000,247.221008,-0.131000,-0.005969,0.005969,0.707074,0.707089,0.001310,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,True,True,1.000000,0.000000,-4483.819824,18.330000,0.000000,266.691010,-0.131000,-0.005964,0.005964,0.707074,0.707089,0.001010,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,True,True,1.000000,0.000000,-4481.439941,18.330000,0.000000,286.001007,-0.131000,-0.005964,0.005964,0.707074,0.707089,0.000710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,True,True,1.000000,0.000000,-4478.899902,18.330000,0.000000,305.140991,-0.131000,-0.005964,0.005964,0.707074,0.707089,0.000510,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
