frame,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000
3,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000159,-0.000154,0.707107,0.707107,0.052310,0.000000,0.000000
4,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000467,-0.000461,0.707107,0.707106,0.104010,0.000000,0.000000
5,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000925,-0.000920,0.707106,0.707107,0.155110,0.000000,0.000000
6,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.001529,-0.001524,0.707107,0.707103,0.205610,0.000000,0.000000
7,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.002285,-0.002279,0.707105,0.707101,0.255510,0.000000,0.000000
8,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.003180,-0.003175,0.707103,0.707096,0.304810,0.000000,0.000000
9,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.004221,-0.004216,0.707098,0.707091,0.353510,0.000000,0.000000
10,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.005403,-0.005397,0.707093,0.707080,0.401610,0.000000,0.000000
11,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.006725,-0.006719,0.707081,0.707069,0.449110,0.000000,0.000000
12,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.008187,-0.008181,0.707066,0.707053,0.496110,0.000000,0.000000
13,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.009783,-0.009778,0.707047,0.707031,0.542510,0.000000,0.000000
14,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.011515,-0.011510,0.707022,0.707004,0.588410,0.000000,0.000000
15,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.013382,-0.013376,0.706989,0.706972,0.633710,0.000000,0.000000
16,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.015378,-0.015373,0.706950,0.706929,0.678510,0.000000,0.000000
17,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.017509,-0.017504,0.706900,0.706880,0.722710,0.000000,0.000000
18,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.019764,-0.019759,0.706840,0.706821,0.766410,0.000000,0.000000
19,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.022148,-0.022143,0.706769,0.706751,0.809610,0.000000,0.000000
20,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.024657,-0.024652,0.706684,0.706670,0.852310,0.000000,0.000000
21,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.027290,-0.027284,0.706587,0.706573,0.894510,0.000000,0.000000
22,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.030046,-0.030041,0.706477,0.706459,0.936210,0.000000,0.000000
23,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.032922,-0.032916,0.706350,0.706330,0.977410,0.000000,0.000000
24,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.035916,-0.035911,0.706204,0.706184,1.018110,0.000000,0.000000
25,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.039029,-0.039023,0.706041,0.706017,1.058310,0.000000,0.000000
26,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.042260,-0.042255,0.705852,0.705834,1.098010,0.000000,0.000000
27,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.045605,-0.045600,0.705646,0.705623,1.137210,0.000000,0.000000
28,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.049063,-0.049058,0.705414,0.705391,1.176010,0.000000,0.000000
29,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.052629,-0.052624,0.705159,0.705132,1.214310,0.000000,0.000000
30,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.056308,-0.056303,0.704877,0.704846,1.252210,0.000000,0.000000
31,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.060096,-0.060090,0.704564,0.704533,1.289610,0.000000,0.000000
32,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.063991,-0.063985,0.704223,0.704188,1.326610,0.000000,0.000000
33,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.067988,-0.067983,0.703846,0.703816,1.363110,0.000000,0.000000
34,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.072088,-0.072083,0.703440,0.703406,1.399210,0.000000,0.000000
35,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.076291,-0.076285,0.702995,0.702964,1.434910,0.000000,0.000000
36,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.080596,-0.080590,0.702514,0.702483,1.470110,0.000000,0.000000
37,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.084998,-0.084993,0.701994,0.701966,1.504910,0.000000,0.000000
38,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.089497,-0.089492,0.701437,0.701404,1.539310,0.000000,0.000000
39,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.094094,-0.094088,0.700837,0.700800,1.573310,0.000000,0.000000
40,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.098782,-0.098776,0.700194,0.700153,1.606910,0.000000,0.000000
41,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.103562,-0.103562,0.699502,0.699462,1.640110,0.000000,0.000000
42,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.108433,-0.108433,0.698763,0.698723,1.672910,0.000000,0.000000
43,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.113396,-0.113396,0.697974,0.697936,1.705310,0.000000,0.000000
44,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.118446,-0.118446,0.697138,0.697094,1.737310,0.000000,0.000000
45,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.123582,-0.123582,0.696244,0.696204,1.768910,0.000000,0.000000
46,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.128799,-0.128799,0.695296,0.695260,1.800210,0.000000,0.000000
47,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.134102,-0.134102,0.694292,0.694256,1.831110,0.000000,0.000000
48,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.139486,-0.139486,0.693232,0.693193,1.861610,0.000000,0.000000
49,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.144945,-0.144945,0.692112,0.692071,1.891810,0.000000,0.000000
50,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.150480,-0.150480,0.690929,0.690890,1.921610,0.000000,0.000000
51,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.156091,-0.156091,0.689683,0.689644,1.951110,0.000000,0.000000
52,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.161777,-0.161777,0.688371,0.688333,1.980210,0.000000,0.000000
53,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.167533,-0.167533,0.686995,0.686952,2.009010,0.000000,0.000000
54,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.173360,-0.173360,0.685547,0.685506,2.037410,0.000000,0.000000
55,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.179251,-0.179251,0.684029,0.683990,2.065510,0.000000,0.000000
56,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.185212,-0.185212,0.682441,0.682398,2.093210,0.000000,0.000000
57,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.191233,-0.191233,0.680777,0.680737,2.120610,0.000000,0.000000
58,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.197318,-0.197318,0.679036,0.679000,2.147710,0.000000,0.000000
59,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.203463,-0.203463,0.677223,0.677182,2.174510,0.000000,0.000000
60,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.209667,-0.209667,0.675326,0.675288,2.200910,0.000000,0.000000
61,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.215925,-0.215925,0.673351,0.673314,2.227010,0.000000,0.000000
62,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.222237,-0.222237,0.671293,0.671258,2.252810,0.000000,0.000000
63,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.228597,-0.228597,0.669156,0.669116,2.278310,0.000000,0.000000
64,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.235006,-0.235012,0.666929,0.666894,2.303510,0.000000,0.000000
65,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.241464,-0.241469,0.664616,0.664585,2.328410,0.000000,0.000000
66,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.247970,-0.247975,0.662217,0.662184,2.353010,0.000000,0.000000
67,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.254519,-0.254525,0.659725,0.659697,2.377310,0.000000,0.000000
68,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.261106,-0.261112,0.657145,0.657118,2.401310,0.000000,0.000000
69,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.267731,-0.267737,0.654473,0.654448,2.425010,0.000000,0.000000
70,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.274394,-0.274399,0.651710,0.651680,2.448510,0.000000,0.000000
71,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.281089,-0.281094,0.648850,0.648821,2.471710,0.000000,0.000000
72,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.287816,-0.287822,0.645894,0.645865,2.494610,0.000000,0.000000
73,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.294576,-0.294581,0.642838,0.642811,2.517210,0.000000,0.000000
74,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.301363,-0.301368,0.639681,0.639661,2.539610,0.000000,0.000000
75,0.500000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.308171,-0.308176,0.636430,0.636408,2.561710,0.000000,0.000000
