frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.120000,0.000000,18.629999,0.000000,0.000000,8.429999,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000300,0.000000
1,True,True,False,False,0.000000,1.000000,0.140000,0.000000,21.160000,-0.520000,0.000000,304.109985,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000200,0.000000
2,True,True,False,False,0.000000,1.000000,0.140000,0.000000,23.730000,0.110000,0.000000,308.130005,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000200,0.000000
3,True,True,False,False,0.000000,1.000000,0.140000,0.000000,26.330000,-0.050000,0.000000,312.149994,0.000003,0.003202,0.000003,0.999995,0.000000,-0.000100,0.000000
4,True,True,False,False,0.000000,1.000000,0.140000,0.000000,28.959999,-0.010000,0.000000,316.169983,0.000003,0.003202,0.000003,0.999995,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.140000,0.000000,31.629999,-0.010000,0.000000,320.190002,0.000003,0.003202,0.000003,0.999995,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.140000,0.000000,34.329998,0.060000,0.000000,324.209991,0.000003,0.003202,0.000003,0.999995,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.140000,0.000000,37.090000,0.130000,0.000000,330.940002,-0.001330,0.003202,0.000008,0.999994,-0.319500,0.000000,0.002000
8,True,True,False,False,0.000000,1.000000,0.140000,0.000000,39.899998,0.200000,0.030000,337.669983,-0.003941,0.003202,0.000019,0.999987,-0.626300,0.000000,0.003900
9,True,True,False,False,0.000000,1.000000,0.140000,0.000000,42.770000,0.270000,0.120000,344.399994,-0.007777,0.003202,0.000030,0.999965,-0.920800,0.000000,0.005700
