frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,0.311000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000410,0.000000
1,True,True,0.000000,0.000000,0.330000,0.000000,20.799999,-1.111000,0.000000,295.960999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000110,0.000000
2,True,True,0.000000,0.000000,0.330000,0.000000,23.299999,0.501000,0.000000,299.980988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
3,True,True,0.000000,0.000000,0.330000,0.000000,25.830000,0.071000,0.000000,304.001007,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
4,True,True,0.000000,0.000000,0.330000,0.000000,28.400000,0.181000,0.000000,308.020996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
5,True,True,0.000000,0.000000,0.330000,0.000000,31.000000,0.161000,0.000000,312.040985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
6,True,True,0.000000,0.000000,0.330000,0.000000,33.630001,0.161000,0.000000,316.061005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
7,True,True,0.000000,0.000000,0.330000,0.000000,36.299999,0.361000,0.000000,320.080994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
8,True,True,0.000000,0.000000,0.330000,0.000000,39.020000,0.561000,0.000000,326.811005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
9,True,True,0.000000,0.000000,0.340000,0.000000,41.799999,0.761000,0.000000,333.540985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
10,True,True,0.000000,0.000000,0.350000,0.000000,44.639999,0.961000,0.000000,340.270996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
11,True,True,0.000000,0.000000,0.360000,0.000000,47.529999,1.161000,0.000000,347.001007,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
12,True,True,0.000000,0.000000,0.370000,0.000000,50.480000,1.361000,0.000000,353.730988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
13,True,True,0.000000,0.000000,0.380000,0.000000,53.480000,1.561000,0.000000,360.460999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
14,True,True,0.000000,0.000000,0.390000,0.000000,56.539997,1.761000,0.000000,367.191010,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
15,True,True,0.000000,0.000000,0.410000,0.000000,59.660000,1.961000,0.000000,373.920990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
