frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-41.660000,0.000000,99.949997,-4998.729980,0.000000,-5.410000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-83.309998,0.000000,99.860001,-4997.459961,0.000000,-10.820000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-124.939995,0.000000,99.720001,-4996.189941,0.000000,-16.230000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-166.559998,0.000000,99.540001,-4994.919922,0.000000,-21.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-208.169998,0.000000,99.309998,-4993.649902,0.000000,-27.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-249.769989,0.000000,99.040001,-4992.379883,0.000000,-32.450001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-291.359985,0.000000,98.720001,-4991.109863,0.000000,-37.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-332.940002,0.000000,98.360001,-4989.839844,0.000000,-43.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-374.509979,0.000000,97.949997,-4988.569824,0.000000,-48.649998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-416.069977,0.000000,97.500000,-4987.299805,0.000000,-54.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-457.619995,0.000000,97.000000,-4986.029785,0.000000,-59.449997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-499.160004,0.000000,96.459999,-4984.759766,0.000000,-64.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-540.690002,0.000000,95.869995,-4983.489746,0.000000,-70.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-582.209961,0.000000,95.239998,-4982.219727,0.000000,-75.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-623.719971,0.000000,94.559998,-4980.949707,0.000000,-81.029999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-665.219971,0.000000,93.839996,-4979.679688,0.000000,-86.419998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-706.709961,0.000000,93.070000,-4978.409668,0.000000,-91.809998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,-747.739990,0.000000,93.529999,-4923.850098,0.000000,55.070000,0.000003,-0.006083,0.000003,0.999981,0.000000,-1.460100,0.000000
19,-788.760010,0.000000,93.939995,-4922.600098,0.000000,49.629997,0.000003,-0.012168,0.000003,0.999926,0.000000,-1.460000,0.000000
20,-829.769958,0.000000,94.309998,-4921.350098,0.000000,44.200001,0.000003,-0.018248,0.000003,0.999833,0.000000,-1.459900,0.000000
21,-870.769958,0.000000,94.629997,-4920.100098,0.000000,38.770000,0.000003,-0.024328,0.000003,0.999704,0.000000,-1.459900,0.000000
22,-911.760010,0.000000,94.909996,-4918.850098,0.000000,33.340000,0.000003,-0.030408,0.000003,0.999538,0.000000,-1.459900,0.000000
23,-952.739990,0.000000,95.139999,-4917.600098,0.000000,27.910000,0.000003,-0.036488,0.000003,0.999334,0.000000,-1.459900,0.000000
24,-993.709961,0.000000,95.329994,-4916.350098,0.000000,22.480000,0.000003,-0.042568,0.000003,0.999094,0.000000,-1.459900,0.000000
25,-1034.669922,0.000000,95.470001,-4915.100098,0.000000,17.049999,0.000003,-0.048642,0.000003,0.998816,0.000000,-1.459900,0.000000
26,-1075.619995,0.000000,95.570000,-4913.850098,0.000000,11.620000,0.000003,-0.054717,0.000003,0.998502,0.000000,-1.459900,0.000000
27,-1116.559937,0.000000,95.619995,-4912.600098,0.000000,6.200000,0.000003,-0.060792,0.000003,0.998150,0.000000,-1.459900,0.000000
28,-1157.489990,0.000000,95.629997,-4911.350098,0.000000,0.780000,0.000003,-0.066861,0.000003,0.997762,0.000000,-1.459900,0.000000
29,-1198.410034,0.000000,95.589996,-4910.100098,0.000000,-4.630000,0.000003,-0.072930,0.000003,0.997337,0.000000,-1.459900,0.000000
30,-1239.319946,0.000000,95.509995,-4908.850098,0.000000,-10.040000,0.000003,-0.078994,0.000003,0.996875,0.000000,-1.459900,0.000000
31,-1280.219971,0.000000,95.379997,-4907.600098,0.000000,-15.450000,0.000003,-0.085057,0.000003,0.996376,0.000000,-1.459900,0.000000
32,-1321.109985,0.000000,95.209999,-4906.350098,0.000000,-20.859999,0.000003,-0.091116,0.000003,0.995840,0.000000,-1.459900,0.000000
33,-1361.989990,0.000000,94.989998,-4905.100098,0.000000,-26.269999,0.000003,-0.097174,0.000003,0.995267,0.000000,-1.459900,0.000000
34,-1402.859985,0.000000,94.729996,-4903.850098,0.000000,-31.679998,0.000003,-0.103227,0.000003,0.994658,0.000000,-1.459900,0.000000
35,-1443.709961,0.000000,94.419998,-4902.600098,0.000000,-37.079998,0.000003,-0.109275,0.000003,0.994012,0.000000,-1.459900,0.000000
