frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.000000,-200.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,-1.000000,1.000000,0.000000,-195.830002,1000.000000,0.000000,500.001007,0.000000,-0.005495,0.005500,0.707086,0.707085,-1.866610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,-1.000000,1.000000,0.000000,-191.659988,1000.000000,0.000000,500.001007,0.000000,-0.016360,0.016365,0.706917,0.706918,-3.688510,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,-1.000000,1.000000,0.000000,-187.489990,1000.000000,0.000000,500.001007,0.000000,-0.032458,0.032463,0.706362,0.706360,-5.466710,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,-1.000000,1.000000,0.000000,-183.319992,1000.000000,0.000000,500.001007,0.000000,-0.053638,0.053643,0.705071,0.705068,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,-1.000000,1.000000,0.000000,-179.149994,1000.000000,0.000000,500.001007,0.000000,-0.074867,0.074872,0.703133,0.703131,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,-1.000000,1.000000,0.000000,-174.979996,1000.000000,0.000000,500.001007,0.000000,-0.096025,0.096030,0.700560,0.700552,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,-1.000000,1.000000,0.000000,-171.639999,1000.209961,0.000000,411.480988,23.460999,-0.110618,0.110623,0.698407,0.698394,-5.027310,0.000000,0.000000,0.000000,4.950000,998.739990,0.000000,531.080994,-140.791000,0.005861,0.000003,0.000003,0.999983,1.405410,0.000000,0.000000
8,True,True,-1.000000,1.000000,0.000000,-168.220001,1000.409973,0.000000,411.480988,23.460999,-0.130277,0.130282,0.695008,0.694995,-5.500010,0.000000,0.000000,0.000000,12.130000,997.919983,0.000000,852.970947,-97.471001,0.011715,0.000003,0.000003,0.999931,1.405410,0.000000,0.000000
9,True,True,-1.000000,1.000000,0.000000,-164.789993,1000.609985,0.000000,411.480988,23.460999,-0.151165,0.151171,0.690763,0.690755,-5.499910,0.000000,0.000000,0.000000,19.240000,997.109985,0.000000,852.750977,-97.440994,0.017568,0.000003,0.000003,0.999846,1.405410,0.000000,0.000000
