frame;input.bActivateBoost;input.bHoldingBoost;input.Steer;input.Throttle;car.Location.X;car.Location.Y;car.Location.Z;car.LinearVelocity.X;car.LinearVelocity.Y;car.LinearVelocity.Z;car.Quaternion.X;car.Quaternion.Y;car.Quaternion.Z;car.Quaternion.W;car.AngularVelocity.X;car.AngularVelocity.Y;car.AngularVelocity.Z;
0;False;False;0.000000;0.000000;-2000.000000;-4499.810059;17.000000;0.000000;0.000000;8.410000;-0.003396;0.003401;0.707101;0.707096;0.000500;0.000000;0.000000
1;True;True;0.000000;1.000000;-2000.000000;-4499.739746;17.000000;0.000000;21.520000;8.360000;-0.003396;0.003401;0.707101;0.707096;0.001200;0.000000;0.000000
2;True;True;0.000000;1.000000;-2000.000000;-4499.489746;17.000000;0.000000;42.860001;8.330000;-0.003391;0.003396;0.707101;0.707096;0.001600;0.000000;0.000000
3;True;True;0.000000;1.000000;-2000.000000;-4499.060059;17.000000;0.000000;64.010002;8.309999;-0.003385;0.003391;0.707101;0.707096;0.001700;0.000000;0.000000
4;True;True;0.000000;1.000000;-2000.000000;-4498.459961;17.000000;0.000000;84.979996;8.290000;-0.003380;0.003385;0.707101;0.707096;0.001700;0.000000;0.000000
5;True;True;0.000000;1.000000;-2000.000000;-4497.679688;17.000000;0.000000;105.769997;8.280000;-0.003374;0.003380;0.707101;0.707096;0.001600;0.000000;0.000000
6;True;True;0.000000;1.000000;-2000.000000;-4496.729980;17.000000;0.000000;126.379997;8.280000;-0.003369;0.003374;0.707101;0.707096;0.001500;0.000000;0.000000
7;True;True;0.000000;1.000000;-2000.000000;-4495.609863;17.000000;0.000000;146.819992;8.280000;-0.003364;0.003369;0.707102;0.707096;0.001300;0.000000;0.000000
8;True;True;0.000000;1.000000;-2000.000000;-4494.319824;17.000000;0.000000;167.080002;8.280000;-0.003358;0.003364;0.707102;0.707096;0.001100;0.000000;0.000000
9;True;True;0.000000;1.000000;-2000.000000;-4492.859863;17.000000;0.000000;187.169998;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000900;0.000000;0.000000
10;True;True;0.000000;1.000000;-2000.000000;-4491.229980;17.000000;0.000000;207.089996;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000700;0.000000;0.000000
11;True;True;0.000000;1.000000;-2000.000000;-4489.439941;17.000000;0.000000;226.839996;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000600;0.000000;0.000000
12;True;True;0.000000;1.000000;-2000.000000;-4487.479980;17.000000;0.000000;246.419998;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000500;0.000000;0.000000
13;True;True;0.000000;1.000000;-2000.000000;-4485.359863;17.000000;0.000000;265.829987;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000500;0.000000;0.000000
14;True;True;0.000000;1.000000;-2000.000000;-4483.080078;17.000000;0.000000;285.070007;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000500;0.000000;0.000000
15;True;True;0.000000;1.000000;-2000.000000;-4480.640137;17.000000;0.000000;304.149994;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000500;0.000000;0.000000
16;True;True;0.000000;1.000000;-2000.000000;-4478.040039;17.000000;0.000000;323.059998;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000500;0.000000;0.000000
17;True;True;0.000000;1.000000;-2000.000000;-4475.279785;17.000000;0.000000;341.809998;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000400;0.000000;0.000000
18;True;True;0.000000;1.000000;-2000.000000;-4472.359863;17.000000;0.000000;360.399994;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000400;0.000000;0.000000
19;True;True;0.000000;1.000000;-2000.000000;-4469.290039;17.000000;0.000000;378.829987;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000400;0.000000;0.000000
20;True;True;0.000000;1.000000;-2000.000000;-4466.060059;17.000000;0.000000;397.100006;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000400;0.000000;0.000000
21;True;True;0.000000;1.000000;-2000.000000;-4462.679688;17.000000;0.000000;415.220001;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000400;0.000000;0.000000
22;True;True;0.000000;1.000000;-2000.000000;-4459.149902;17.000000;0.000000;433.179993;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000300;0.000000;0.000000
23;True;True;0.000000;1.000000;-2000.000000;-4455.469727;17.000000;0.000000;450.989990;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000300;0.000000;0.000000
24;True;True;0.000000;1.000000;-2000.000000;-4451.640137;17.000000;0.000000;468.649994;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000300;0.000000;0.000000
25;True;True;0.000000;1.000000;-2000.000000;-4447.669922;17.000000;0.000000;486.149994;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000300;0.000000;0.000000
26;True;True;0.000000;1.000000;-2000.000000;-4443.549805;17.000000;0.000000;503.500000;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000300;0.000000;0.000000
27;True;True;0.000000;1.000000;-2000.000000;-4439.279785;17.000000;0.000000;520.709961;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000200;0.000000;0.000000
28;True;True;0.000000;1.000000;-2000.000000;-4434.870117;17.000000;0.000000;537.769958;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000200;0.000000;0.000000
29;True;True;0.000000;1.000000;-2000.000000;-4430.319824;17.000000;0.000000;554.679993;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000200;0.000000;0.000000
30;True;True;0.000000;1.000000;-2000.000000;-4425.629883;17.000000;0.000000;571.450012;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000200;0.000000;0.000000
31;True;True;0.000000;1.000000;-2000.000000;-4420.799805;17.000000;0.000000;588.070007;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000200;0.000000;0.000000
32;True;True;0.000000;1.000000;-2000.000000;-4415.830078;17.000000;0.000000;604.549988;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
33;True;True;0.000000;1.000000;-2000.000000;-4410.719727;17.000000;0.000000;620.890015;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
34;True;True;0.000000;1.000000;-2000.000000;-4405.479980;17.000000;0.000000;637.089966;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
35;True;True;0.000000;1.000000;-2000.000000;-4400.100098;17.000000;0.000000;653.149963;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
36;True;True;0.000000;1.000000;-2000.000000;-4394.589844;17.000000;0.000000;669.070007;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
37;True;True;0.000000;1.000000;-2000.000000;-4388.939941;17.000000;0.000000;684.859985;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000100;0.000000;0.000000
38;True;True;0.000000;1.000000;-2000.000000;-4383.159668;17.000000;0.000000;700.510010;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
39;True;True;0.000000;1.000000;-2000.000000;-4377.250000;17.000000;0.000000;716.029968;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
40;True;True;0.000000;1.000000;-2000.000000;-4371.209961;17.000000;0.000000;731.409973;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
41;True;True;0.000000;1.000000;-2000.000000;-4365.049805;17.000000;0.000000;746.659973;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
42;True;True;0.000000;1.000000;-2000.000000;-4358.759766;17.000000;0.000000;761.779968;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
43;True;True;0.000000;1.000000;-2000.000000;-4352.339844;17.000000;0.000000;776.769958;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
44;True;True;0.000000;1.000000;-2000.000000;-4345.799805;17.000000;0.000000;791.630005;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
45;True;True;0.000000;1.000000;-2000.000000;-4339.129883;17.000000;0.000000;806.369995;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
46;True;True;0.000000;1.000000;-2000.000000;-4332.339844;17.000000;0.000000;820.979980;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
47;True;True;0.000000;1.000000;-2000.000000;-4325.429688;17.000000;0.000000;835.459961;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
48;True;True;0.000000;1.000000;-2000.000000;-4318.399902;17.000000;0.000000;849.820007;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
49;True;True;0.000000;1.000000;-2000.000000;-4311.250000;17.000000;0.000000;864.059998;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
50;True;True;0.000000;1.000000;-2000.000000;-4303.979980;17.000000;0.000000;878.179993;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
51;True;True;0.000000;1.000000;-2000.000000;-4296.589844;17.000000;0.000000;892.169983;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
52;True;True;0.000000;1.000000;-2000.000000;-4289.089844;17.000000;0.000000;906.039978;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
53;True;True;0.000000;1.000000;-2000.000000;-4281.469727;17.000000;0.000000;919.799988;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
54;True;True;0.000000;1.000000;-2000.000000;-4273.739746;17.000000;0.000000;933.440002;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
55;True;True;0.000000;1.000000;-2000.000000;-4265.890137;17.000000;0.000000;946.959961;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
56;True;True;0.000000;1.000000;-2000.000000;-4257.929688;17.000000;0.000000;960.359985;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
57;True;True;0.000000;1.000000;-2000.000000;-4249.859863;17.000000;0.000000;973.649963;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
58;True;True;0.000000;1.000000;-2000.000000;-4241.679688;17.000000;0.000000;986.829956;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
59;True;True;0.000000;1.000000;-2000.000000;-4233.390137;17.000000;0.000000;999.889954;8.280000;-0.003353;0.003358;0.707102;0.707096;0.000000;0.000000;0.000000
60;True;True;0.000000;1.000000;-2000.000000;-4224.989746;17.000000;0.000000;1012.839966;8.280000;-0.003353;0.003358;0.707102;0.707096;-0.000100;0.000000;0.000000
61;True;True;0.000000;1.000000;-2000.000000;-4216.479980;17.000000;0.000000;1025.679932;8.280000;-0.003353;0.003358;0.707102;0.707096;-0.000100;0.000000;0.000000
62;True;True;0.000000;1.000000;-2000.000000;-4207.859863;17.000000;0.000000;1038.410034;8.280000;-0.003353;0.003358;0.707102;0.707096;-0.000100;0.000000;0.000000
