frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,0.000000,False,False,-2000.000000,-4499.659668,18.340000,0.000000,-0.011000,0.241000,-0.006050,0.006050,0.707074,0.707087,0.000610,0.000000,0.000000
1,0.000000,False,False,-2000.000000,-4499.659668,18.340000,0.000000,-0.011000,0.241000,-0.006050,0.006050,0.707074,0.707087,0.000610,0.000000,0.000000
2,0.000000,False,False,-2000.000000,-4499.659668,18.340000,0.000000,-0.011000,0.241000,-0.006050,0.006050,0.707074,0.707087,0.000610,0.000000,0.000000
3,0.000000,False,False,-2000.000000,-4499.659668,18.340000,0.000000,-0.011000,0.241000,-0.006050,0.006050,0.707074,0.707087,0.000610,0.000000,0.000000
4,1.000000,True,True,-2000.000000,-4499.479980,18.340000,0.000000,21.580999,0.101000,-0.006045,0.006045,0.707074,0.707087,0.001710,0.000000,0.000000
5,1.000000,True,True,-2000.000000,-4499.120117,18.340000,0.000000,42.990997,0.000000,-0.006040,0.006039,0.707074,0.707088,0.002310,0.000000,0.000000
6,1.000000,True,True,-2000.000000,-4498.580078,18.340000,0.000000,64.210999,-0.061000,-0.006034,0.006034,0.707074,0.707088,0.002710,0.000000,0.000000
7,1.000000,True,True,-2000.000000,-4497.870117,18.340000,0.000000,85.250999,-0.111000,-0.006023,0.006023,0.707074,0.707088,0.003010,0.000000,0.000000
8,1.000000,True,True,-2000.000000,-4496.989746,18.340000,0.000000,106.111000,-0.141000,-0.006013,0.006013,0.707074,0.707088,0.003110,0.000000,0.000000
9,1.000000,True,True,-2000.000000,-4495.929688,18.340000,0.000000,126.791000,-0.171000,-0.006002,0.006002,0.707074,0.707088,0.003010,0.000000,0.000000
10,1.000000,True,True,-2000.000000,-4494.699707,18.340000,0.000000,147.301010,-0.191000,-0.005991,0.005991,0.707074,0.707088,0.002810,0.000000,0.000000
11,1.000000,True,True,-2000.000000,-4493.299805,18.340000,0.000000,167.630997,-0.211000,-0.005986,0.005986,0.707074,0.707088,0.002510,0.000000,0.000000
12,1.000000,True,True,-2000.000000,-4491.729980,18.340000,0.000000,187.791000,-0.221000,-0.005980,0.005980,0.707074,0.707089,0.002210,0.000000,0.000000
13,1.000000,True,True,-2000.000000,-4490.000000,18.340000,0.000000,207.770996,-0.231000,-0.005975,0.005975,0.707074,0.707089,0.001910,0.000000,0.000000
14,1.000000,True,True,-2000.000000,-4488.100098,18.340000,0.000000,227.581009,-0.241000,-0.005969,0.005969,0.707074,0.707089,0.001610,0.000000,0.000000
15,1.000000,True,True,-2000.000000,-4486.040039,18.340000,0.000000,247.221008,-0.241000,-0.005964,0.005964,0.707074,0.707089,0.001210,0.000000,0.000000
16,1.000000,True,True,-2000.000000,-4483.819824,18.340000,0.000000,266.691010,-0.241000,-0.005959,0.005964,0.707074,0.707089,0.000910,0.000000,0.000000
17,1.000000,True,True,-2000.000000,-4481.439941,18.340000,0.000000,286.001007,-0.241000,-0.005959,0.005964,0.707074,0.707089,0.000610,0.000000,0.000000
18,1.000000,True,True,-2000.000000,-4478.899902,18.340000,0.000000,305.140991,-0.241000,-0.005959,0.005964,0.707074,0.707089,0.000310,0.000000,0.000000
19,1.000000,True,True,-2000.000000,-4476.199707,18.340000,0.000000,324.121002,-0.241000,-0.005959,0.005964,0.707074,0.707089,0.000110,0.000000,0.000000
20,1.000000,True,True,-2000.000000,-4473.339844,18.340000,0.000000,342.931000,-0.241000,-0.005959,0.005964,0.707074,0.707089,0.000000,0.000000,0.000000
21,1.000000,True,True,-2000.000000,-4470.330078,18.340000,0.000000,361.580994,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000110,0.000000,0.000000
22,1.000000,True,True,-2000.000000,-4467.159668,18.340000,0.000000,380.070984,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000210,0.000000,0.000000
23,1.000000,True,True,-2000.000000,-4463.839844,18.340000,0.000000,398.401001,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000210,0.000000,0.000000
24,1.000000,True,True,-2000.000000,-4460.370117,18.340000,0.000000,416.580994,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000310,0.000000,0.000000
25,1.000000,True,True,-2000.000000,-4456.750000,18.340000,0.000000,434.600983,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000410,0.000000,0.000000
26,1.000000,True,True,-2000.000000,-4452.979980,18.340000,0.000000,452.471008,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000410,0.000000,0.000000
27,1.000000,True,True,-2000.000000,-4449.060059,18.340000,0.000000,470.181000,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000510,0.000000,0.000000
28,1.000000,True,True,-2000.000000,-4445.000000,18.340000,0.000000,487.740997,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000510,0.000000,0.000000
29,1.000000,True,True,-2000.000000,-4440.790039,18.340000,0.000000,505.151001,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000610,0.000000,0.000000
30,1.000000,True,True,-2000.000000,-4436.439941,18.340000,0.000000,522.410950,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000610,0.000000,0.000000
31,1.000000,True,True,-2000.000000,-4431.939941,18.340000,0.000000,539.520935,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000710,0.000000,0.000000
32,1.000000,True,True,-2000.000000,-4427.299805,18.340000,0.000000,556.490967,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000710,0.000000,0.000000
33,1.000000,True,True,-2000.000000,-4422.520020,18.340000,0.000000,573.310974,-0.241000,-0.005959,0.005964,0.707074,0.707089,-0.000810,0.000000,0.000000
34,1.000000,True,True,-2000.000000,-4417.600098,18.340000,0.000000,589.990967,-0.241000,-0.005964,0.005964,0.707074,0.707089,-0.000810,0.000000,0.000000
35,1.000000,True,True,-2000.000000,-4412.549805,18.340000,0.000000,606.530945,-0.241000,-0.005964,0.005964,0.707074,0.707089,-0.000810,0.000000,0.000000
36,1.000000,True,True,-2000.000000,-4407.359863,18.340000,0.000000,622.920959,-0.241000,-0.005964,0.005964,0.707074,0.707089,-0.000810,0.000000,0.000000
37,1.000000,True,True,-2000.000000,-4402.029785,18.340000,0.000000,639.170959,-0.241000,-0.005964,0.005964,0.707074,0.707089,-0.000810,0.000000,0.000000
38,1.000000,True,True,-2000.000000,-4396.569824,18.340000,0.000000,655.280945,-0.241000,-0.005964,0.005969,0.707074,0.707089,-0.000910,0.000000,0.000000
39,1.000000,True,True,-2000.000000,-4390.979980,18.340000,0.000000,671.260986,-0.241000,-0.005969,0.005975,0.707074,0.707089,-0.000910,0.000000,0.000000
40,1.000000,True,True,-2000.000000,-4385.250000,18.340000,0.000000,687.100952,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000810,0.000000,0.000000
41,1.000000,True,True,-2000.000000,-4379.390137,18.340000,0.000000,702.800964,-0.241000,-0.005975,0.005975,0.707074,0.707089,-0.000710,0.000000,0.000000
