frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,8.320000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000300,0.000000
1,True,True,False,False,0.000000,1.000000,0.200000,0.000000,19.539999,-0.770000,0.000000,304.000000,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
2,True,True,False,False,0.000000,1.000000,0.190000,0.000000,22.109999,0.170000,0.000000,308.019989,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
3,True,True,False,False,0.000000,1.000000,0.190000,0.000000,24.709999,-0.070000,0.000000,312.039978,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
4,True,True,False,False,0.000000,1.000000,0.190000,0.000000,27.340000,-0.010000,0.000000,316.059998,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.190000,0.000000,30.010000,-0.020000,0.000000,320.079987,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.190000,0.000000,32.709999,0.090000,0.000000,324.100006,0.000003,0.004815,0.000003,0.999988,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.190000,0.000000,35.469997,0.200000,0.000000,330.829987,-0.001330,0.004815,0.000008,0.999987,-0.319500,0.000000,0.003000
8,True,True,False,False,0.000000,1.000000,0.190000,0.000000,38.279999,0.310000,0.030000,337.559998,-0.003941,0.004815,0.000019,0.999981,-0.626300,0.000000,0.005900
9,True,True,False,False,0.000000,1.000000,0.190000,0.000000,41.149998,0.420000,0.120000,344.289978,-0.007777,0.004815,0.000035,0.999958,-0.920800,0.000000,0.008700
10,True,True,False,False,0.000000,1.000000,0.190000,0.000000,44.079998,0.530000,0.300000,351.019989,-0.012794,0.004815,0.000057,0.999907,-1.203500,0.000000,0.011400
11,True,True,False,False,0.000000,1.000000,0.200000,0.010000,47.059998,0.640000,0.610000,357.750000,-0.018939,0.004815,0.000084,0.999809,-1.474900,0.000000,0.014000
12,True,True,False,False,0.000000,1.000000,0.210000,0.020000,50.099998,0.750000,1.070000,364.470001,-0.026168,0.004815,0.000116,0.999646,-1.735500,0.000000,0.016500
13,True,True,False,False,0.000000,1.000000,0.220000,0.030000,53.189999,0.860000,1.700000,371.179993,-0.034438,0.004815,0.000154,0.999395,-1.985700,0.000000,0.018900
14,True,True,False,False,0.000000,1.000000,0.230000,0.050000,56.340000,0.970000,2.530000,377.880005,-0.043706,0.004815,0.000197,0.999033,-2.225900,0.000000,0.021200
15,True,True,False,False,0.000000,1.000000,0.240000,0.080000,59.539997,1.080000,3.590000,384.559998,-0.053929,0.004815,0.000245,0.998533,-2.456500,0.000000,0.023400
16,True,True,False,False,0.000000,1.000000,0.250000,0.120000,62.799999,1.190000,4.890000,391.220001,-0.065070,0.004809,0.000299,0.997869,-2.677900,0.000000,0.025500
17,True,True,False,False,0.000000,1.000000,0.260000,0.170000,66.119995,1.300000,6.460000,397.850006,-0.077084,0.004804,0.000359,0.997013,-2.890400,0.000000,0.027500
18,True,True,False,False,0.000000,1.000000,0.270000,0.240000,69.489998,1.410000,8.320000,404.440002,-0.089934,0.004799,0.000418,0.995936,-3.094500,0.000000,0.029400
19,True,True,False,False,0.000000,1.000000,0.280000,0.330000,72.909996,1.520000,10.490000,410.970001,-0.103583,0.004793,0.000483,0.994609,-3.290400,0.000000,0.031200
20,True,True,False,False,0.000000,1.000000,0.290000,0.440000,76.389999,1.630000,12.990000,417.440002,-0.117987,0.004788,0.000548,0.993003,-3.478500,0.000000,0.033000
21,False,False,False,False,0.000000,1.000000,0.300000,0.550000,79.820000,1.630000,12.990000,412.019989,-0.133114,0.004777,0.000618,0.991089,-3.659100,0.000000,0.034700
22,False,False,False,False,0.000000,1.000000,0.310000,0.660000,83.209999,1.630000,12.990000,406.600006,-0.148921,0.004766,0.000693,0.988837,-3.832400,0.000000,0.036300
23,False,False,False,False,0.000000,1.000000,0.320000,0.770000,86.549995,1.630000,12.990000,401.179993,-0.165375,0.004756,0.000769,0.986219,-3.998800,0.000000,0.037900
24,False,False,False,False,0.000000,1.000000,0.330000,0.880000,89.849998,1.630000,12.990000,395.759979,-0.182439,0.004739,0.000850,0.983205,-4.158600,0.000000,0.039400
25,False,False,False,False,0.000000,1.000000,0.340000,0.990000,93.099998,1.630000,12.990000,390.339996,-0.200075,0.004723,0.000931,0.979769,-4.312000,0.000000,0.040800
26,False,False,False,False,0.000000,1.000000,0.350000,1.100000,96.309998,1.630000,12.990000,384.919983,-0.218245,0.004707,0.001017,0.975882,-4.459300,0.000000,0.042200
27,False,False,False,False,0.000000,1.000000,0.360000,1.210000,99.470001,1.630000,12.990000,379.500000,-0.236911,0.004685,0.001103,0.971519,-4.600700,0.000000,0.043500
