frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.810059,17.010000,0.000000,-0.010000,8.320000,-0.003407,0.003412,0.707096,0.707101,0.000500,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.739746,17.010000,0.000000,21.510000,8.260000,-0.003407,0.003412,0.707096,0.707101,0.001300,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.489746,17.010000,0.000000,42.849998,8.230000,-0.003401,0.003407,0.707096,0.707101,0.001700,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4499.060059,17.010000,0.000000,64.000000,8.210000,-0.003396,0.003401,0.707096,0.707101,0.001900,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.459961,17.010000,0.000000,84.970001,8.190000,-0.003391,0.003396,0.707096,0.707101,0.001900,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.679688,17.010000,0.000000,105.759995,8.179999,-0.003385,0.003391,0.707096,0.707101,0.001900,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.729980,17.010000,0.000000,126.369995,8.170000,-0.003380,0.003385,0.707096,0.707101,0.001800,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4495.609863,17.010000,0.000000,146.809998,8.160000,-0.003374,0.003380,0.707096,0.707101,0.001700,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4494.319824,17.010000,0.000000,167.069992,8.160000,-0.003369,0.003374,0.707096,0.707101,0.001500,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4492.859863,17.010000,0.000000,187.159988,8.160000,-0.003364,0.003369,0.707096,0.707102,0.001300,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4491.229980,17.010000,0.000000,207.080002,8.160000,-0.003358,0.003364,0.707096,0.707102,0.001100,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4489.439941,17.010000,0.000000,226.830002,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000900,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4487.479980,17.010000,0.000000,246.409988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000700,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4485.359863,17.010000,0.000000,265.820007,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000600,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4483.080078,17.010000,0.000000,285.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000500,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4480.640137,17.010000,0.000000,304.139984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000400,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4478.040039,17.010000,0.000000,323.049988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000300,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4475.279785,17.010000,0.000000,341.799988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
18,True,True,0.000000,1.000000,-2000.000000,-4472.359863,17.010000,0.000000,360.389984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
19,True,True,0.000000,1.000000,-2000.000000,-4469.290039,17.010000,0.000000,378.819977,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
20,True,True,0.000000,1.000000,-2000.000000,-4466.060059,17.010000,0.000000,397.089996,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
21,True,True,0.000000,1.000000,-2000.000000,-4462.679688,17.010000,0.000000,415.209991,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
22,True,True,0.000000,1.000000,-2000.000000,-4459.149902,17.010000,0.000000,433.169983,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
23,True,True,0.000000,1.000000,-2000.000000,-4455.469727,17.010000,0.000000,450.979980,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
24,True,True,0.000000,1.000000,-2000.000000,-4451.640137,17.010000,0.000000,468.639984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
25,True,True,0.000000,1.000000,-2000.000000,-4447.669922,17.010000,0.000000,486.139984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
26,True,True,0.000000,1.000000,-2000.000000,-4443.549805,17.010000,0.000000,503.489990,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
27,True,True,0.000000,1.000000,-2000.000000,-4439.279785,17.010000,0.000000,520.700012,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
28,True,True,0.000000,1.000000,-2000.000000,-4434.870117,17.010000,0.000000,537.760010,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
29,True,True,0.000000,1.000000,-2000.000000,-4430.319824,17.010000,0.000000,554.669983,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
30,True,True,0.000000,1.000000,-2000.000000,-4425.629883,17.010000,0.000000,571.440002,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
31,True,True,0.000000,1.000000,-2000.000000,-4420.799805,17.010000,0.000000,588.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
32,True,True,0.000000,1.000000,-2000.000000,-4415.830078,17.010000,0.000000,604.539978,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
33,True,True,0.000000,1.000000,-2000.000000,-4410.719727,17.010000,0.000000,620.880005,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
34,True,True,0.000000,1.000000,-2000.000000,-4405.479980,17.010000,0.000000,637.079956,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
35,True,True,0.000000,1.000000,-2000.000000,-4400.100098,17.010000,0.000000,653.140015,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
36,True,True,0.000000,1.000000,-2000.000000,-4394.589844,17.010000,0.000000,669.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
37,True,True,0.000000,1.000000,-2000.000000,-4388.949707,17.010000,0.000000,684.849976,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
38,True,True,0.000000,1.000000,-2000.000000,-4383.169922,17.010000,0.000000,700.500000,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
39,True,True,0.000000,1.000000,-2000.000000,-4377.259766,17.010000,0.000000,716.019958,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
40,True,True,0.000000,1.000000,-2000.000000,-4371.219727,17.010000,0.000000,731.399963,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
41,True,True,0.000000,1.000000,-2000.000000,-4365.060059,17.010000,0.000000,746.649963,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
42,True,True,0.000000,1.000000,-2000.000000,-4358.770020,17.010000,0.000000,761.769958,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
43,True,True,0.000000,1.000000,-2000.000000,-4352.350098,17.010000,0.000000,776.760010,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
44,True,True,0.000000,1.000000,-2000.000000,-4345.810059,17.010000,0.000000,791.619995,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
45,True,True,0.000000,1.000000,-2000.000000,-4339.140137,17.010000,0.000000,806.359985,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
46,True,True,0.000000,1.000000,-2000.000000,-4332.350098,17.010000,0.000000,820.969971,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
47,True,True,0.000000,1.000000,-2000.000000,-4325.439941,17.010000,0.000000,835.449951,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
48,True,True,0.000000,1.000000,-2000.000000,-4318.409668,17.010000,0.000000,849.809998,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
49,True,True,0.000000,1.000000,-2000.000000,-4311.259766,17.010000,0.000000,864.049988,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
50,True,True,0.000000,1.000000,-2000.000000,-4303.989746,17.010000,0.000000,878.169983,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
51,True,True,0.000000,1.000000,-2000.000000,-4296.600098,17.010000,0.000000,892.159973,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
52,True,True,0.000000,1.000000,-2000.000000,-4289.100098,17.010000,0.000000,906.029968,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
53,True,True,0.000000,1.000000,-2000.000000,-4281.479980,17.010000,0.000000,919.789978,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
54,True,True,0.000000,1.000000,-2000.000000,-4273.750000,17.010000,0.000000,933.429993,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
55,True,True,0.000000,1.000000,-2000.000000,-4265.899902,17.010000,0.000000,946.949951,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
56,True,True,0.000000,1.000000,-2000.000000,-4257.939941,17.010000,0.000000,960.349976,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
57,True,True,0.000000,1.000000,-2000.000000,-4249.870117,17.010000,0.000000,973.639954,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
58,True,True,0.000000,1.000000,-2000.000000,-4241.689941,17.010000,0.000000,986.820007,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
59,True,True,0.000000,1.000000,-2000.000000,-4233.399902,17.010000,0.000000,999.880005,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
60,True,True,0.000000,1.000000,-2000.000000,-4225.000000,17.010000,0.000000,1012.829956,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
61,True,True,0.000000,1.000000,-2000.000000,-4216.489746,17.010000,0.000000,1025.669922,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
62,True,True,0.000000,1.000000,-2000.000000,-4207.870117,17.010000,0.000000,1038.400024,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
63,True,True,0.000000,1.000000,-2000.000000,-4199.149902,17.010000,0.000000,1051.020020,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
64,True,True,0.000000,1.000000,-2000.000000,-4190.319824,17.010000,0.000000,1063.530029,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
65,True,True,0.000000,1.000000,-2000.000000,-4181.390137,17.010000,0.000000,1075.939941,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
66,True,True,0.000000,1.000000,-2000.000000,-4172.350098,17.010000,0.000000,1088.239990,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
67,True,True,0.000000,1.000000,-2000.000000,-4163.209961,17.010000,0.000000,1100.429932,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
68,True,True,0.000000,1.000000,-2000.000000,-4153.969727,17.010000,0.000000,1112.520020,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
69,True,True,0.000000,1.000000,-2000.000000,-4144.629883,17.010000,0.000000,1124.510010,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
70,True,True,0.000000,1.000000,-2000.000000,-4135.189941,17.010000,0.000000,1136.390015,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
71,True,True,0.000000,1.000000,-2000.000000,-4125.649902,17.010000,0.000000,1148.169922,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
72,True,True,0.000000,1.000000,-2000.000000,-4116.009766,17.010000,0.000000,1159.849976,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
73,True,True,0.000000,1.000000,-2000.000000,-4106.279785,17.010000,0.000000,1171.429932,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
74,True,True,0.000000,1.000000,-2000.000000,-4096.449707,17.010000,0.000000,1182.910034,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
75,True,True,0.000000,1.000000,-2000.000000,-4086.520020,17.010000,0.000000,1194.289917,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
76,True,True,0.000000,1.000000,-2000.000000,-4076.500000,17.010000,0.000000,1205.569946,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
77,True,True,0.000000,1.000000,-2000.000000,-4066.379883,17.010000,0.000000,1216.760010,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
78,True,True,0.000000,1.000000,-2000.000000,-4056.169922,17.010000,0.000000,1227.849976,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.001000,0.000000,0.000000
79,True,True,0.000000,1.000000,-2000.000000,-4045.869873,17.010000,0.000000,1238.849976,8.160000,-0.003358,0.003364,0.707096,0.707102,-0.001000,0.000000,0.000000
80,True,True,0.000000,1.000000,-2000.000000,-4035.479980,17.010000,0.000000,1249.750000,8.160000,-0.003364,0.003369,0.707096,0.707102,-0.001000,0.000000,0.000000
81,True,True,0.000000,1.000000,-2000.000000,-4025.000000,17.010000,0.000000,1260.559937,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000900,0.000000,0.000000
82,True,True,0.000000,1.000000,-2000.000000,-4014.429932,17.010000,0.000000,1271.280029,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000700,0.000000,0.000000
83,True,True,0.000000,1.000000,-2000.000000,-4003.770020,17.010000,0.000000,1281.900024,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000600,0.000000,0.000000
84,True,True,0.000000,1.000000,-2000.000000,-3993.020020,17.010000,0.000000,1292.429932,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
85,True,True,0.000000,1.000000,-2000.000000,-3982.179932,17.010000,0.000000,1302.869995,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
86,True,True,0.000000,1.000000,-2000.000000,-3971.250000,17.010000,0.000000,1313.219971,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
87,True,True,0.000000,1.000000,-2000.000000,-3960.239990,17.010000,0.000000,1323.489990,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
88,True,True,0.000000,1.000000,-2000.000000,-3949.139893,17.010000,0.000000,1333.669922,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
89,True,True,0.000000,1.000000,-2000.000000,-3937.959961,17.010000,0.000000,1343.760010,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
90,True,True,0.000000,1.000000,-2000.000000,-3926.689941,17.010000,0.000000,1353.760010,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
91,True,True,0.000000,1.000000,-2000.000000,-3915.339844,17.010000,0.000000,1363.679932,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
92,True,True,0.000000,1.000000,-2000.000000,-3903.909912,17.010000,0.000000,1373.510010,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
93,True,True,0.000000,1.000000,-2000.000000,-3892.389893,17.010000,0.000000,1383.260010,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
94,True,True,0.000000,1.000000,-2000.000000,-3880.789795,17.010000,0.000000,1392.929932,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
95,True,True,0.000000,1.000000,-2000.000000,-3869.109863,17.010000,0.000000,1402.369995,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000500,0.000000,0.000000
96,True,True,0.000000,1.000000,-2000.000000,-3857.349854,17.010000,0.000000,1410.630005,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000600,0.000000,0.000000
97,True,True,0.000000,1.000000,-2000.000000,-3845.530029,17.010000,0.000000,1418.890015,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000700,0.000000,0.000000
98,True,True,0.000000,1.000000,-2000.000000,-3833.639893,17.010000,0.000000,1427.150024,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000800,0.000000,0.000000
99,True,True,0.000000,1.000000,-2000.000000,-3821.679932,17.010000,0.000000,1435.409912,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000800,0.000000,0.000000
100,True,True,0.000000,1.000000,-2000.000000,-3809.649902,17.010000,0.000000,1443.669922,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000800,0.000000,0.000000
101,True,True,0.000000,1.000000,-2000.000000,-3797.549805,17.010000,0.000000,1451.929932,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000800,0.000000,0.000000
102,True,True,0.000000,1.000000,-2000.000000,-3785.379883,17.010000,0.000000,1460.189941,8.160000,-0.003369,0.003374,0.707096,0.707101,-0.000800,0.000000,0.000000
