frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.000000,-200.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,-1.000000,1.000000,0.000000,-195.830002,1000.000000,0.000000,500.001007,0.000000,-0.005495,0.005500,0.707086,0.707085,-1.866610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,-1.000000,1.000000,0.000000,-191.659988,1000.000000,0.000000,500.001007,0.000000,-0.016360,0.016365,0.706917,0.706918,-3.688510,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,-1.000000,1.000000,0.000000,-187.489990,1000.000000,0.000000,500.001007,0.000000,-0.032458,0.032463,0.706362,0.706360,-5.466710,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,-1.000000,1.000000,0.000000,-183.319992,1000.000000,0.000000,500.001007,0.000000,-0.053638,0.053643,0.705071,0.705068,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,-1.000000,1.000000,0.000000,-179.149994,1000.000000,0.000000,500.001007,0.000000,-0.074867,0.074872,0.703133,0.703131,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,-1.000000,1.000000,0.000000,-174.979996,1000.000000,0.000000,500.001007,0.000000,-0.096025,0.096030,0.700560,0.700552,-5.500010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,-1.000000,1.000000,0.000000,-170.809998,1000.000000,0.000000,500.001007,0.000000,-0.117097,0.117103,0.697344,0.697342,-5.499910,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,True,True,-1.000000,1.000000,0.000000,-167.369995,1000.159973,0.000000,420.920990,18.740999,-0.134339,0.134344,0.694226,0.694229,-5.500010,0.000000,0.000000,0.000000,4.370000,999.039978,0.000000,474.471008,-112.490997,0.009551,0.000003,0.000003,0.999954,2.291710,0.000000,0.000000
9,True,True,-1.000000,1.000000,0.000000,-163.860001,1000.320007,0.000000,420.920990,18.740999,-0.155201,0.155206,0.689860,0.689868,-5.499910,0.000000,0.000000,0.000000,11.000000,998.519958,0.000000,795.320984,-61.990997,0.019100,0.000003,0.000003,0.999818,2.291710,0.000000,0.000000
