frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeStrafe,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,180.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.949997,0.000000,0.000000,-5.511000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.860001,0.000000,0.000000,-10.921000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.720001,0.000000,0.000000,-16.330999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.539993,0.000000,0.000000,-21.740999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.309998,0.000000,0.000000,-27.150999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,179.039993,0.000000,0.000000,-32.560997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,178.720001,0.000000,0.000000,-37.960999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,-0.011000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,178.360001,0.000000,0.000000,-43.361000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,False,False,0.000000,0.000000,0.000000,0.000000,0.000000,False,False,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,0.271000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,-2000.000000,-4480.000000,177.949997,0.000000,0.000000,-48.760998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
