frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.659668,17.049999,0.000000,0.000000,8.361000,-0.005942,0.005953,0.707089,0.707074,0.000510,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.589844,17.049999,0.000000,21.521000,8.271000,-0.005942,0.005953,0.707089,0.707074,0.001610,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.339844,17.049999,0.000000,42.861000,8.211000,-0.005937,0.005948,0.707089,0.707074,0.002310,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4498.909668,17.049999,0.000000,64.011002,8.171000,-0.005932,0.005942,0.707089,0.707074,0.002710,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.310059,17.049999,0.000000,84.980995,8.141000,-0.005926,0.005937,0.707089,0.707074,0.003010,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.529785,17.049999,0.000000,105.770996,8.121000,-0.005915,0.005926,0.707090,0.707074,0.003110,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.580078,17.049999,0.000000,126.380997,8.101000,-0.005905,0.005915,0.707090,0.707074,0.003110,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4495.459961,17.049999,0.000000,146.820999,8.091001,-0.005894,0.005905,0.707090,0.707074,0.002910,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4494.169922,17.049999,0.000000,167.081009,8.081000,-0.005883,0.005894,0.707090,0.707074,0.002610,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4492.709961,17.049999,0.000000,187.171005,8.071000,-0.005878,0.005888,0.707090,0.707074,0.002210,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4491.080078,17.049999,0.000000,207.091003,8.061000,-0.005872,0.005883,0.707090,0.707074,0.001910,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4489.290039,17.049999,0.000000,226.841003,8.061000,-0.005867,0.005878,0.707090,0.707074,0.001610,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4487.330078,17.049999,0.000000,246.421005,8.061000,-0.005861,0.005872,0.707090,0.707074,0.001210,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4485.209961,17.049999,0.000000,265.830994,8.061000,-0.005856,0.005867,0.707091,0.707074,0.000910,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4482.929688,17.049999,0.000000,285.071014,8.061000,-0.005851,0.005867,0.707091,0.707074,0.000610,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4480.489746,17.049999,0.000000,304.151001,8.061000,-0.005851,0.005867,0.707091,0.707074,0.000310,-0.000110,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4477.890137,17.049999,0.000000,323.061005,8.061000,-0.005851,0.005867,0.707091,0.707074,0.000110,-0.000210,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4475.129883,17.049999,0.000000,341.811005,8.061000,-0.005851,0.005867,0.707091,0.707074,0.000000,-0.000210,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4472.209961,17.049999,0.000000,360.401001,8.061000,-0.005851,0.005867,0.707091,0.707074,-0.000110,-0.000210,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4469.140137,17.049999,0.000000,378.830994,8.061000,-0.005851,0.005867,0.707091,0.707074,-0.000210,-0.000210,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4465.909668,17.049999,0.000000,397.101013,8.061000,-0.005851,0.005867,0.707091,0.707074,-0.000310,-0.000210,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4462.529785,17.049999,0.000000,415.221008,8.061000,-0.005851,0.005867,0.707091,0.707074,-0.000310,-0.000210,0.000000
