frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.180000,0.000000,17.000000,0.000000,0.000000,0.321000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,0.170000,0.000000,19.469999,-0.621000,0.000000,296.001007,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
2,True,True,0.170000,0.000000,21.969999,0.271000,0.000000,300.020996,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
3,True,True,0.170000,0.000000,24.500000,0.041000,0.000000,304.040985,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
4,True,True,0.170000,0.000000,27.070000,0.101000,0.000000,308.061005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
5,True,True,0.170000,0.000000,29.670000,0.081000,0.000000,312.080994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
6,True,True,0.170000,0.000000,32.299999,0.091000,0.000000,316.101013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
7,True,True,0.170000,0.000000,34.969997,0.201000,0.000000,320.121002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
8,True,True,0.170000,0.000000,37.689999,0.311000,0.000000,326.851013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
9,True,True,0.170000,0.000000,40.469997,0.421000,0.000000,333.580994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
10,True,True,0.170000,0.000000,43.309998,0.531000,0.000000,340.311005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
11,True,True,0.180000,0.000000,46.200001,0.641000,0.000000,347.040985,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
12,True,True,0.190000,0.000000,49.149998,0.751000,0.000000,353.770996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
13,True,True,0.200000,0.000000,52.149998,0.861000,0.000000,360.501007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
14,True,True,0.210000,0.000000,55.209999,0.971000,0.000000,367.230988,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
15,True,True,0.220000,0.000000,58.329998,1.081000,0.000000,373.960999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
16,True,True,0.230000,0.000000,61.500000,1.191000,0.000000,380.691010,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
17,True,True,0.240000,0.000000,64.729996,1.301000,0.000000,387.420990,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
18,True,True,0.250000,0.000000,68.010002,1.411000,0.000000,394.151001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
19,True,True,0.260000,0.000000,71.349998,1.521000,0.000000,400.881012,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
20,True,True,0.270000,0.000000,74.750000,1.631000,0.000000,407.610992,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
21,False,False,0.280000,0.000000,78.099998,1.631000,0.000000,402.191010,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
22,False,False,0.290000,0.000000,81.409996,1.631000,0.000000,396.770996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
23,False,False,0.300000,0.000000,84.669998,1.631000,0.000000,391.351013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
24,False,False,0.310000,0.000000,87.889999,1.631000,0.000000,385.931000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
25,False,False,0.320000,0.000000,91.059998,1.631000,0.000000,380.510986,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
26,False,False,0.330000,0.000000,94.189995,1.631000,0.000000,375.091003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
27,False,False,0.340000,0.000000,97.269997,1.631000,0.000000,369.670990,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
28,False,False,0.350000,0.000000,100.309998,1.631000,0.000000,364.251007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
29,False,False,0.360000,0.000000,103.299995,1.631000,0.000000,358.830994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
30,False,False,0.370000,0.000000,106.250000,1.631000,0.000000,353.411011,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
31,False,False,0.380000,0.000000,109.149994,1.631000,0.000000,347.990997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
32,False,False,0.390000,0.000000,112.000000,1.631000,0.000000,342.571014,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
33,False,False,0.400000,0.000000,114.809998,1.631000,0.000000,337.151001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
