frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,0.321000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,0.000000,0.000000,0.170000,0.000000,19.469999,-0.621000,0.000000,296.001007,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
2,True,True,0.000000,0.000000,0.170000,0.000000,21.969999,0.271000,0.000000,300.020996,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
3,True,True,0.000000,0.000000,0.170000,0.000000,24.500000,0.041000,0.000000,304.040985,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
4,True,True,0.000000,0.000000,0.170000,0.000000,27.070000,0.101000,0.000000,308.061005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
5,True,True,0.000000,0.000000,0.170000,0.000000,29.670000,0.081000,0.000000,312.080994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
6,True,True,0.000000,0.000000,0.170000,0.000000,32.299999,0.091000,0.000000,316.101013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
7,True,True,0.000000,0.000000,0.170000,0.000000,34.969997,0.201000,0.000000,320.121002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
8,True,True,0.000000,0.000000,0.170000,0.000000,37.689999,0.311000,0.000000,326.851013,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
9,True,True,0.000000,0.000000,0.170000,0.000000,40.469997,0.421000,0.000000,333.580994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
10,True,True,0.000000,0.000000,0.170000,0.000000,43.309998,0.531000,0.000000,340.311005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
11,True,True,0.000000,0.000000,0.180000,0.000000,46.200001,0.641000,0.000000,347.040985,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
12,True,True,0.000000,0.000000,0.190000,0.000000,49.149998,0.751000,0.000000,353.770996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
13,True,True,0.000000,0.000000,0.200000,0.000000,52.149998,0.861000,0.000000,360.501007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
14,True,True,0.000000,0.000000,0.210000,0.000000,55.209999,0.971000,0.000000,367.230988,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
