frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000
1,True,True,-1.000000,1.000000,0.350000,-0.030000,17.010000,20.671000,-3.381000,0.191000,0.000003,0.004809,-0.000391,0.999988,-0.000910,-0.000910,-0.094510
2,True,True,-1.000000,1.000000,0.690000,-0.090000,17.010000,41.050999,-6.931000,0.131000,0.000003,0.004804,-0.001195,0.999988,-0.001510,-0.001110,-0.192810
3,True,True,-1.000000,1.000000,1.200000,-0.180000,17.010000,61.200996,-10.571000,0.101000,0.000003,0.004799,-0.002414,0.999986,-0.001910,-0.001110,-0.292610
4,True,True,-1.000000,1.000000,1.880000,-0.300000,17.010000,81.120995,-14.321000,0.081000,0.000003,0.004793,-0.004054,0.999980,-0.002110,-0.001110,-0.393410
5,True,True,-1.000000,1.000000,2.720000,-0.450000,17.010000,100.830994,-18.171000,0.061000,0.000003,0.004788,-0.006115,0.999970,-0.002210,-0.001010,-0.494310
6,True,True,-1.000000,1.000000,3.720000,-0.630000,17.010000,120.350998,-22.120998,0.051000,0.000003,0.004782,-0.008591,0.999952,-0.002210,-0.000910,-0.594610
7,True,True,-1.000000,1.000000,4.880000,-0.850000,17.010000,139.681000,-26.190998,0.041000,0.000008,0.004777,-0.011483,0.999923,-0.002110,-0.000810,-0.693610
8,True,True,-1.000000,1.000000,6.200000,-1.100000,17.010000,158.831009,-30.390999,0.041000,0.000013,0.004772,-0.014779,0.999879,-0.001910,-0.000710,-0.790810
9,True,True,-1.000000,1.000000,7.680000,-1.390000,17.010000,177.801010,-34.740997,0.041000,0.000024,0.004766,-0.018469,0.999818,-0.001710,-0.000610,-0.885810
10,True,True,-1.000000,1.000000,9.320000,-1.720000,17.010000,196.581009,-39.271000,0.041000,0.000035,0.004766,-0.022542,0.999735,-0.001510,-0.000510,-0.978110
11,True,True,-1.000000,1.000000,11.110000,-2.090000,17.010000,215.181000,-44.000999,0.041000,0.000051,0.004766,-0.026988,0.999624,-0.001210,-0.000410,-1.067510
12,True,True,-1.000000,1.000000,13.059999,-2.500000,17.010000,233.591003,-48.960999,0.041000,0.000073,0.004766,-0.031794,0.999483,-0.000910,-0.000310,-1.153710
13,True,True,-1.000000,1.000000,15.160000,-2.950000,17.010000,251.800995,-54.181000,0.041000,0.000094,0.004766,-0.036946,0.999306,-0.000710,-0.000310,-1.236610
14,True,True,-1.000000,1.000000,17.410000,-3.450000,17.010000,269.800995,-59.681000,0.041000,0.000116,0.004766,-0.042428,0.999088,-0.000510,-0.000310,-1.316210
15,True,True,-1.000000,1.000000,19.809999,-4.000000,17.010000,287.580994,-65.490997,0.041000,0.000143,0.004766,-0.048222,0.998825,-0.000310,-0.000310,-1.392310
16,True,True,-1.000000,1.000000,22.350000,-4.600000,17.010000,305.131012,-71.630997,0.041000,0.000170,0.004766,-0.054318,0.998512,-0.000110,-0.000310,-1.464810
17,True,True,-1.000000,1.000000,25.039999,-5.250000,17.010000,322.441010,-78.130997,0.041000,0.000202,0.004761,-0.060700,0.998145,0.000000,-0.000310,-1.533610
18,True,True,-1.000000,1.000000,27.869999,-5.960000,17.010000,339.501007,-85.000999,0.041000,0.000235,0.004756,-0.067346,0.997718,0.000000,-0.000310,-1.598710
19,True,True,-1.000000,1.000000,30.840000,-6.730000,17.010000,356.290985,-92.270996,0.041000,0.000267,0.004750,-0.074246,0.997229,0.000110,-0.000210,-1.660210
20,True,True,-1.000000,1.000000,33.950001,-7.560000,17.010000,372.800995,-99.960999,0.041000,0.000305,0.004745,-0.081384,0.996672,0.000210,-0.000210,-1.718110
21,True,True,-1.000000,1.000000,37.189999,-8.460000,17.010000,389.020996,-108.080994,0.041000,0.000343,0.004739,-0.088742,0.996043,0.000310,-0.000110,-1.772310
22,True,True,-1.000000,1.000000,40.559998,-9.429999,17.010000,404.931000,-116.650993,0.041000,0.000380,0.004734,-0.096306,0.995341,0.000310,0.000000,-1.822910
23,True,True,-1.000000,1.000000,44.059998,-10.480000,17.010000,420.510986,-125.670998,0.041000,0.000418,0.004729,-0.104058,0.994560,0.000410,0.000000,-1.870010
24,True,True,-1.000000,1.000000,47.689999,-11.610000,17.010000,435.751007,-135.161011,0.041000,0.000456,0.004723,-0.111983,0.993699,0.000410,0.000000,-1.913610
25,True,True,-1.000000,1.000000,51.449997,-12.820000,17.010000,450.631012,-145.121002,0.041000,0.000499,0.004718,-0.120070,0.992754,0.000510,0.000000,-1.953810
26,True,True,-1.000000,1.000000,55.329998,-14.120000,17.010000,465.140991,-155.551010,0.041000,0.000542,0.004712,-0.128302,0.991724,0.000510,0.000000,-1.990710
27,True,True,-1.000000,1.000000,59.320000,-15.509999,17.010000,479.260986,-166.460999,0.041000,0.000585,0.004707,-0.136664,0.990606,0.000510,0.000000,-2.024310
28,True,True,-1.000000,1.000000,63.430000,-16.990000,17.010000,492.950989,-177.880997,0.041000,0.000628,0.004702,-0.145145,0.989399,0.000510,0.000000,-2.055710
29,True,True,-1.000000,1.000000,67.650002,-18.570000,17.010000,506.151001,-189.850998,0.041000,0.000672,0.004696,-0.153744,0.988099,0.000510,0.000000,-2.086610
30,True,True,-1.000000,1.000000,71.970001,-20.260000,17.010000,518.850952,-202.371002,0.041000,0.000715,0.004691,-0.162451,0.986705,0.000510,0.000000,-2.116810
31,True,True,-1.000000,1.000000,76.400002,-22.059999,17.010000,531.040955,-215.421005,0.041000,0.000758,0.004685,-0.171267,0.985213,0.000510,0.000000,-2.146210
32,True,True,-1.000000,1.000000,80.919998,-23.969999,17.010000,542.710938,-228.981003,0.041000,0.000801,0.004680,-0.180184,0.983621,0.000510,0.000000,-2.174510
33,True,True,-1.000000,1.000000,85.540001,-26.000000,17.010000,553.850952,-243.041000,0.041000,0.000844,0.004675,-0.189199,0.981927,0.000510,0.000000,-2.201710
34,True,True,-1.000000,1.000000,90.239998,-28.150000,17.010000,564.440979,-257.591003,0.041000,0.000887,0.004669,-0.198305,0.980129,0.000510,0.000000,-2.227710
35,True,True,-1.000000,1.000000,95.029999,-30.420000,17.010000,574.480957,-272.610992,0.041000,0.000936,0.004658,-0.207493,0.978225,0.000510,0.000000,-2.252410
36,True,True,-1.000000,1.000000,99.900002,-32.820000,17.010000,583.940979,-288.091003,0.051000,0.000985,0.004648,-0.216761,0.976213,0.000510,0.000000,-2.275810
