frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.010000,0.000000,0.000000,0.271000,0.000003,0.004815,0.000003,0.999988,0.000000,-0.000410,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,2.900000,893.209961,0.000000,0.061000,78.780998,-0.501165,0.501177,-0.498818,-0.498834,0.052110,0.000000,-0.000210,0.000000,0.570000,1045.319946,0.000000,-0.361000,78.560997,-0.000154,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
2,False,False,1.000000,-0.100000,0.000000,2.870000,892.320007,0.000000,0.051000,73.910995,-0.501386,0.501406,-0.498592,-0.498608,0.040410,0.000000,-0.000210,0.000000,0.650000,1055.520020,0.000000,-8.851000,137.541000,-0.000310,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
3,False,False,1.000000,-0.100000,0.000000,2.870000,892.649963,0.000000,0.041000,69.041000,-0.501467,0.501492,-0.498505,-0.498527,0.028910,0.000000,-0.000210,0.000000,0.600000,1058.089966,0.000000,-8.841001,132.081009,-0.000467,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
4,False,False,1.000000,-0.100000,0.000000,2.870000,893.179993,0.000000,0.031000,64.170998,-0.501505,0.501529,-0.498468,-0.498489,0.017710,0.000000,-0.000210,0.000000,0.510000,1059.489990,0.000000,-11.201000,168.320999,-0.000623,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
5,False,False,1.000000,-0.100000,0.000000,2.870000,893.669983,0.000000,0.021000,59.300999,-0.501521,0.501545,-0.498451,-0.498473,0.006710,0.000000,-0.000210,0.000000,0.420000,1060.849976,0.000000,-15.211000,230.831009,-0.000780,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
6,False,False,1.000000,-0.100000,0.000000,2.870000,894.119995,0.000000,0.011000,54.431000,-0.501510,0.501540,-0.498457,-0.498484,-0.003910,0.000000,-0.000210,0.000000,0.290000,1062.729980,0.000000,-15.201000,225.350998,-0.000936,0.000003,0.000003,1.000000,-0.037710,0.000000,0.000000
7,False,False,1.000000,-0.100000,0.000000,2.870000,894.529968,0.000000,0.000000,49.560997,-0.501478,0.501513,-0.498484,-0.498516,-0.014310,0.000000,-0.000210,0.000000,0.160000,1064.559937,0.000000,-15.191000,219.871002,-0.001092,0.000003,0.000003,0.999999,-0.037710,0.000000,0.000000
8,False,False,1.000000,-0.100000,0.000000,2.870000,894.899963,0.000000,0.000000,44.690998,-0.501424,0.501465,-0.498532,-0.498570,-0.024510,0.000000,-0.000210,0.000000,0.030000,1066.349976,0.000000,-15.181000,214.391006,-0.001249,0.000003,0.000003,0.999999,-0.037710,0.000000,0.000000
9,False,False,1.000000,-0.100000,0.000000,2.870000,895.229980,0.000000,0.000000,39.820999,-0.501354,0.501396,-0.498602,-0.498640,-0.034510,0.000000,-0.000210,0.000000,-0.100000,1068.089966,0.000000,-15.171000,208.910995,-0.001405,0.000003,0.000003,0.999999,-0.037710,0.000000,0.000000
10,False,False,1.000000,-0.100000,0.000000,2.870000,895.519958,0.000000,0.000000,34.951000,-0.501262,0.501305,-0.498694,-0.498732,-0.044310,0.000000,-0.000210,0.000000,-0.230000,1069.789917,0.000000,-15.161000,203.441010,-0.001562,0.000003,0.000003,0.999999,-0.037710,0.000000,0.000000
11,False,False,1.000000,-0.100000,0.000000,2.870000,895.769958,0.000000,0.000000,30.080999,-0.501149,0.501193,-0.498807,-0.498845,-0.053910,0.000000,-0.000210,0.000000,-0.360000,1071.439941,0.000000,-15.151000,197.971008,-0.001718,0.000003,0.000003,0.999999,-0.037710,0.000000,0.000000
12,False,False,1.000000,-0.100000,0.000000,2.870000,895.979980,0.000000,0.000000,25.210999,-0.501019,0.501059,-0.498937,-0.498980,-0.063210,0.000000,-0.000210,0.000000,-0.490000,1073.039917,0.000000,-15.141000,192.501007,-0.001875,0.000003,0.000003,0.999998,-0.037710,0.000000,0.000000
13,False,False,1.000000,-0.100000,0.000000,2.870000,896.149963,0.000000,0.000000,20.341000,-0.500868,0.500909,-0.499088,-0.499131,-0.072310,0.000000,-0.000210,0.000000,-0.620000,1074.599976,0.000000,-15.131001,187.031006,-0.002031,0.000003,0.000003,0.999998,-0.037710,0.000000,0.000000
