frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.810059,17.000000,0.000000,-0.011000,0.341000,-0.003407,0.003412,0.707096,0.707101,0.000610,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.629883,17.000000,0.000000,21.580999,0.261000,-0.003401,0.003407,0.707096,0.707101,0.001410,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.270020,17.000000,0.000000,42.990997,0.201000,-0.003396,0.003401,0.707096,0.707101,0.001810,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4498.729980,17.000000,0.000000,64.210999,0.161000,-0.003391,0.003396,0.707096,0.707101,0.001910,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.020020,17.000000,0.000000,85.250999,0.141000,-0.003385,0.003391,0.707096,0.707101,0.001810,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.140137,17.000000,0.000000,106.111000,0.121000,-0.003380,0.003385,0.707096,0.707101,0.001710,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.080078,17.000000,0.000000,126.791000,0.111000,-0.003374,0.003380,0.707096,0.707101,0.001510,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4494.850098,17.000000,0.000000,147.301010,0.101000,-0.003369,0.003374,0.707096,0.707101,0.001310,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4493.449707,17.000000,0.000000,167.630997,0.101000,-0.003364,0.003369,0.707096,0.707102,0.001110,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4491.879883,17.000000,0.000000,187.791000,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000910,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4490.149902,17.000000,0.000000,207.770996,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000710,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4488.250000,17.000000,0.000000,227.581009,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000610,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4486.189941,17.000000,0.000000,247.221008,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000510,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4483.969727,17.000000,0.000000,266.691010,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000510,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4481.589844,17.000000,0.000000,286.001007,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000410,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4479.049805,17.000000,0.000000,305.140991,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000410,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4476.350098,17.000000,0.000000,324.121002,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000410,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4473.489746,17.000000,0.000000,342.931000,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000410,0.000000,0.000000
18,True,True,0.000000,1.000000,-2000.000000,-4470.479980,17.000000,0.000000,361.580994,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000310,0.000000,0.000000
19,True,True,0.000000,1.000000,-2000.000000,-4467.310059,17.000000,0.000000,380.070984,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000310,0.000000,0.000000
20,True,True,0.000000,1.000000,-2000.000000,-4463.989746,17.000000,0.000000,398.411011,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000310,0.000000,0.000000
21,True,True,0.000000,1.000000,-2000.000000,-4460.520020,17.000000,0.000000,416.591003,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000310,0.000000,0.000000
22,True,True,0.000000,1.000000,-2000.000000,-4456.899902,17.000000,0.000000,434.610992,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000310,0.000000,0.000000
23,True,True,0.000000,1.000000,-2000.000000,-4453.129883,17.000000,0.000000,452.480988,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000210,0.000000,0.000000
24,True,True,0.000000,1.000000,-2000.000000,-4449.209961,17.000000,0.000000,470.191010,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000210,0.000000,0.000000
25,True,True,0.000000,1.000000,-2000.000000,-4445.149902,17.000000,0.000000,487.751007,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000210,0.000000,0.000000
26,True,True,0.000000,1.000000,-2000.000000,-4440.939941,17.000000,0.000000,505.161011,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000210,0.000000,0.000000
27,True,True,0.000000,1.000000,-2000.000000,-4436.589844,17.000000,0.000000,522.420959,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000110,0.000000,0.000000
28,True,True,0.000000,1.000000,-2000.000000,-4432.089844,17.000000,0.000000,539.540955,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000110,0.000000,0.000000
29,True,True,0.000000,1.000000,-2000.000000,-4427.449707,17.000000,0.000000,556.510986,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000110,0.000000,0.000000
30,True,True,0.000000,1.000000,-2000.000000,-4422.669922,17.000000,0.000000,573.330994,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000110,0.000000,0.000000
31,True,True,0.000000,1.000000,-2000.000000,-4417.750000,17.000000,0.000000,590.010986,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000110,0.000000,0.000000
32,True,True,0.000000,1.000000,-2000.000000,-4412.699707,17.000000,0.000000,606.550964,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000000,0.000000,0.000000
33,True,True,0.000000,1.000000,-2000.000000,-4407.509766,17.000000,0.000000,622.940979,0.101000,-0.003358,0.003364,0.707096,0.707102,0.000000,0.000000,0.000000
