frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.879883,18.639999,0.000000,-0.010000,8.440000,-0.002128,0.002139,0.707106,0.707101,0.000600,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.810059,18.639999,0.000000,21.510000,8.400000,-0.002128,0.002139,0.707106,0.707101,0.000900,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.560059,18.639999,0.000000,42.849998,8.380000,-0.002128,0.002139,0.707106,0.707101,0.001100,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4499.129883,18.639999,0.000000,64.000000,8.370000,-0.002123,0.002134,0.707106,0.707101,0.001200,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.529785,18.639999,0.000000,84.970001,8.360000,-0.002117,0.002128,0.707106,0.707101,0.001200,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.750000,18.639999,0.000000,105.759995,8.349999,-0.002112,0.002123,0.707106,0.707101,0.001100,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.799805,18.639999,0.000000,126.369995,8.349999,-0.002107,0.002117,0.707106,0.707101,0.001000,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4495.679688,18.639999,0.000000,146.809998,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000800,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4494.390137,18.639999,0.000000,167.069992,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000700,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4492.929688,18.639999,0.000000,187.159988,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000600,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4491.299805,18.639999,0.000000,207.080002,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4489.509766,18.639999,0.000000,226.830002,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4487.549805,18.639999,0.000000,246.409988,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4485.429688,18.639999,0.000000,265.820007,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4483.149902,18.639999,0.000000,285.059998,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4480.699707,18.639999,0.000000,304.139984,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000500,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4478.100098,18.639999,0.000000,323.049988,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4475.339844,18.639999,0.000000,341.799988,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
18,True,True,0.000000,1.000000,-2000.000000,-4472.419922,18.639999,0.000000,360.389984,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
19,True,True,0.000000,1.000000,-2000.000000,-4469.350098,18.639999,0.000000,378.819977,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
20,True,True,0.000000,1.000000,-2000.000000,-4466.120117,18.639999,0.000000,397.089996,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
21,True,True,0.000000,1.000000,-2000.000000,-4462.739746,18.639999,0.000000,415.209991,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
22,True,True,0.000000,1.000000,-2000.000000,-4459.209961,18.639999,0.000000,433.169983,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
23,True,True,0.000000,1.000000,-2000.000000,-4455.529785,18.639999,0.000000,450.979980,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
24,True,True,0.000000,1.000000,-2000.000000,-4451.699707,18.639999,0.000000,468.639984,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000400,0.000000,0.000000
25,True,True,0.000000,1.000000,-2000.000000,-4447.719727,18.639999,0.000000,486.139984,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
26,True,True,0.000000,1.000000,-2000.000000,-4443.600098,18.639999,0.000000,503.489990,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
27,True,True,0.000000,1.000000,-2000.000000,-4439.339844,18.639999,0.000000,520.700012,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
28,True,True,0.000000,1.000000,-2000.000000,-4434.929688,18.639999,0.000000,537.760010,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
29,True,True,0.000000,1.000000,-2000.000000,-4430.379883,18.639999,0.000000,554.669983,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
30,True,True,0.000000,1.000000,-2000.000000,-4425.689941,18.639999,0.000000,571.440002,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
31,True,True,0.000000,1.000000,-2000.000000,-4420.859863,18.639999,0.000000,588.059998,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
32,True,True,0.000000,1.000000,-2000.000000,-4415.890137,18.639999,0.000000,604.539978,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
33,True,True,0.000000,1.000000,-2000.000000,-4410.779785,18.639999,0.000000,620.880005,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
34,True,True,0.000000,1.000000,-2000.000000,-4405.540039,18.639999,0.000000,637.079956,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000300,0.000000,0.000000
35,True,True,0.000000,1.000000,-2000.000000,-4400.159668,18.639999,0.000000,653.140015,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
36,True,True,0.000000,1.000000,-2000.000000,-4394.649902,18.639999,0.000000,669.059998,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
37,True,True,0.000000,1.000000,-2000.000000,-4389.009766,18.639999,0.000000,684.849976,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
38,True,True,0.000000,1.000000,-2000.000000,-4383.229980,18.639999,0.000000,700.500000,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
39,True,True,0.000000,1.000000,-2000.000000,-4377.319824,18.639999,0.000000,716.019958,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
40,True,True,0.000000,1.000000,-2000.000000,-4371.279785,18.639999,0.000000,731.399963,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
41,True,True,0.000000,1.000000,-2000.000000,-4365.120117,18.639999,0.000000,746.649963,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
42,True,True,0.000000,1.000000,-2000.000000,-4358.830078,18.639999,0.000000,761.769958,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
43,True,True,0.000000,1.000000,-2000.000000,-4352.409668,18.639999,0.000000,776.760010,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
44,True,True,0.000000,1.000000,-2000.000000,-4345.870117,18.639999,0.000000,791.619995,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
45,True,True,0.000000,1.000000,-2000.000000,-4339.199707,18.639999,0.000000,806.359985,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
46,True,True,0.000000,1.000000,-2000.000000,-4332.409668,18.639999,0.000000,820.969971,8.349999,-0.002101,0.002112,0.707106,0.707101,0.000200,0.000000,0.000000
