frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
1,False,False,0.000000,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
2,False,False,0.000000,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
3,False,False,0.000000,0.000000,3500.339844,0.000000,18.330000,0.000000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000310,0.000000
4,False,False,1.000000,0.000000,3500.339844,0.000000,18.330000,13.331000,0.000000,8.401000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.001410,0.000000
5,False,False,1.000000,0.000000,3500.449951,0.000000,18.330000,26.550999,0.000000,8.401000,0.000003,0.008543,0.000003,0.999963,0.000000,-0.002010,0.000000
6,False,False,1.000000,0.000000,3500.669922,0.000000,18.330000,39.650997,0.000000,8.401000,0.000003,0.008532,0.000003,0.999964,0.000000,-0.002310,0.000000
7,False,False,1.000000,0.000000,3501.000000,0.000000,18.330000,52.640999,0.000000,8.401000,0.000003,0.008521,0.000003,0.999964,0.000000,-0.002410,0.000000
8,False,False,1.000000,0.000000,3501.439941,0.000000,18.330000,65.520996,0.000000,8.401000,0.000003,0.008510,0.000003,0.999964,0.000000,-0.002310,0.000000
9,False,False,1.000000,0.000000,3501.989990,0.000000,18.330000,78.291000,0.000000,8.401000,0.000003,0.008500,0.000003,0.999964,0.000000,-0.002210,0.000000
