frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-200.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,-1.000000,0.000000,-200.000000,1002.429993,0.000000,0.000000,291.661011,-0.000305,0.000310,0.707107,0.707107,-0.103810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,-1.000000,0.000000,-200.000000,1004.859985,0.000000,0.000000,291.661011,-0.000914,0.000920,0.707106,0.707107,-0.207610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,-1.000000,0.000000,-200.000000,1007.289978,0.000000,0.000000,291.661011,-0.001832,0.001837,0.707101,0.707107,-0.311410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,-1.000000,0.000000,-200.000000,1009.719971,0.000000,0.000000,291.661011,-0.003056,0.003062,0.707096,0.707104,-0.415210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,-1.000000,0.000000,-200.000000,1012.149963,0.000000,0.000000,291.661011,-0.004583,0.004588,0.707085,0.707099,-0.519010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,-1.000000,0.000000,-200.000000,1014.579956,0.000000,0.000000,291.661011,-0.006417,0.006423,0.707069,0.707086,-0.622810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,-1.000000,0.000000,-200.000000,1017.009949,0.000000,0.000000,291.661011,-0.008559,0.008564,0.707047,0.707062,-0.726610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,True,True,-1.000000,0.000000,-200.000000,1019.440002,0.000000,0.000000,291.661011,-0.011008,0.011013,0.707015,0.707027,-0.830410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,True,True,-1.000000,0.000000,-200.000000,1021.869995,0.000000,0.000000,291.661011,-0.013759,0.013765,0.706966,0.706979,-0.934210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,True,True,-1.000000,0.000000,-200.000000,1024.299927,0.000000,0.000000,291.661011,-0.016818,0.016824,0.706902,0.706912,-1.038010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,True,True,-1.000000,0.000000,-200.000000,1026.729980,0.000000,0.000000,291.661011,-0.020179,0.020185,0.706815,0.706822,-1.141810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,True,True,-1.000000,0.000000,-200.000000,1029.160034,0.000000,0.000000,291.661011,-0.023848,0.023853,0.706702,0.706707,-1.245610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,True,True,-1.000000,0.000000,-200.000000,1031.589966,0.000000,0.000000,291.661011,-0.027818,0.027829,0.706556,0.706562,-1.349410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,True,True,-1.000000,0.000000,-200.000000,1034.020020,0.000000,0.000000,291.661011,-0.032096,0.032107,0.706373,0.706382,-1.453210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,True,True,-1.000000,0.000000,-200.000000,1036.449951,0.000000,0.000000,291.661011,-0.036677,0.036687,0.706152,0.706157,-1.557010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,True,True,-1.000000,0.000000,-200.000000,1038.880005,0.000000,0.000000,291.661011,-0.041564,0.041575,0.705882,0.705885,-1.660810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,True,True,-1.000000,0.000000,-200.000000,1041.309937,0.000000,0.000000,291.661011,-0.046754,0.046765,0.705558,0.705560,-1.764610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,True,True,-1.000000,0.000000,-200.000000,1043.739990,0.000000,0.000000,291.661011,-0.052246,0.052257,0.705175,0.705172,-1.868410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,True,True,-1.000000,0.000000,-200.000000,1046.169922,0.000000,0.000000,291.661011,-0.058040,0.058051,0.704724,0.704717,-1.972210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,True,True,-1.000000,0.000000,-200.000000,1048.599976,0.000000,0.000000,291.661011,-0.064136,0.064147,0.704195,0.704188,-2.076010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,True,True,-1.000000,0.000000,-200.000000,1051.030029,0.000000,0.000000,291.661011,-0.070529,0.070540,0.703581,0.703579,-2.179810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,True,True,-1.000000,0.000000,-200.000000,1053.459961,0.000000,0.000000,291.661011,-0.077219,0.077229,0.702877,0.702877,-2.283610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,True,True,-1.000000,0.000000,-200.000000,1055.890015,0.000000,0.000000,291.661011,-0.084205,0.084216,0.702076,0.702073,-2.387410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,True,True,-1.000000,0.000000,-200.000000,1058.319946,0.000000,0.000000,291.661011,-0.091488,0.091499,0.701163,0.701162,-2.491210,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,True,True,-1.000000,0.000000,-200.000000,1060.750000,0.000000,0.000000,291.661011,-0.099062,0.099073,0.700134,0.700131,-2.595010,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,True,True,-1.000000,0.000000,-200.000000,1063.179932,0.000000,0.000000,291.661011,-0.106928,0.106939,0.698977,0.698971,-2.698810,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,True,True,-1.000000,0.000000,-200.000000,1065.609985,0.000000,0.000000,291.661011,-0.115085,0.115096,0.697679,0.697677,-2.802610,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,True,True,-1.000000,0.000000,-200.000000,1068.039917,0.000000,0.000000,291.661011,-0.123528,0.123539,0.696234,0.696231,-2.906410,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
