frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,-2000.000000,-4499.810059,17.000000,0.000000,0.000000,0.321000,-0.003396,0.003396,0.707096,0.707101,0.000410,0.000000,0.000000
1,True,True,0.000000,1.000000,-2000.000000,-4499.629883,17.000000,0.000000,21.591000,0.241000,-0.003391,0.003391,0.707096,0.707101,0.001110,0.000000,0.000000
2,True,True,0.000000,1.000000,-2000.000000,-4499.270020,17.000000,0.000000,43.000999,0.181000,-0.003385,0.003385,0.707096,0.707101,0.001510,0.000000,0.000000
3,True,True,0.000000,1.000000,-2000.000000,-4498.729980,17.000000,0.000000,64.221001,0.141000,-0.003380,0.003380,0.707096,0.707101,0.001610,0.000000,0.000000
4,True,True,0.000000,1.000000,-2000.000000,-4498.020020,17.000000,0.000000,85.260994,0.121000,-0.003374,0.003374,0.707096,0.707101,0.001610,0.000000,0.000000
5,True,True,0.000000,1.000000,-2000.000000,-4497.140137,17.000000,0.000000,106.120995,0.101000,-0.003369,0.003369,0.707096,0.707102,0.001510,0.000000,0.000000
6,True,True,0.000000,1.000000,-2000.000000,-4496.080078,17.000000,0.000000,126.800995,0.091000,-0.003364,0.003364,0.707096,0.707102,0.001410,0.000000,0.000000
7,True,True,0.000000,1.000000,-2000.000000,-4494.850098,17.000000,0.000000,147.311005,0.081000,-0.003358,0.003358,0.707096,0.707102,0.001210,0.000000,0.000000
8,True,True,0.000000,1.000000,-2000.000000,-4493.449707,17.000000,0.000000,167.641006,0.081000,-0.003353,0.003353,0.707096,0.707102,0.001010,0.000000,0.000000
9,True,True,0.000000,1.000000,-2000.000000,-4491.879883,17.000000,0.000000,187.801010,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000810,0.000000,0.000000
10,True,True,0.000000,1.000000,-2000.000000,-4490.149902,17.000000,0.000000,207.781006,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000710,0.000000,0.000000
11,True,True,0.000000,1.000000,-2000.000000,-4488.250000,17.000000,0.000000,227.591003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000610,0.000000,0.000000
12,True,True,0.000000,1.000000,-2000.000000,-4486.189941,17.000000,0.000000,247.231003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
13,True,True,0.000000,1.000000,-2000.000000,-4483.969727,17.000000,0.000000,266.700989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
14,True,True,0.000000,1.000000,-2000.000000,-4481.589844,17.000000,0.000000,286.010986,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
15,True,True,0.000000,1.000000,-2000.000000,-4479.049805,17.000000,0.000000,305.151001,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000510,0.000000,0.000000
16,True,True,0.000000,1.000000,-2000.000000,-4476.350098,17.000000,0.000000,324.131012,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
17,True,True,0.000000,1.000000,-2000.000000,-4473.489746,17.000000,0.000000,342.941010,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
18,True,True,0.000000,1.000000,-2000.000000,-4470.479980,17.000000,0.000000,361.591003,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
19,True,True,0.000000,1.000000,-2000.000000,-4467.310059,17.000000,0.000000,380.080994,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
20,True,True,0.000000,1.000000,-2000.000000,-4463.989746,17.000000,0.000000,398.420990,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000410,0.000000,0.000000
21,True,True,0.000000,1.000000,-2000.000000,-4460.520020,17.000000,0.000000,416.600983,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
22,True,True,0.000000,1.000000,-2000.000000,-4456.899902,17.000000,0.000000,434.621002,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
23,True,True,0.000000,1.000000,-2000.000000,-4453.129883,17.000000,0.000000,452.490997,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
24,True,True,0.000000,1.000000,-2000.000000,-4449.209961,17.000000,0.000000,470.200989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000310,0.000000,0.000000
25,True,True,0.000000,1.000000,-2000.000000,-4445.149902,17.000000,0.000000,487.760986,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
26,True,True,0.000000,1.000000,-2000.000000,-4440.939941,17.000000,0.000000,505.170990,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
27,True,True,0.000000,1.000000,-2000.000000,-4436.589844,17.000000,0.000000,522.430969,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
28,True,True,0.000000,1.000000,-2000.000000,-4432.089844,17.000000,0.000000,539.550964,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
29,True,True,0.000000,1.000000,-2000.000000,-4427.449707,17.000000,0.000000,556.520935,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000210,0.000000,0.000000
30,True,True,0.000000,1.000000,-2000.000000,-4422.669922,17.000000,0.000000,573.340942,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
31,True,True,0.000000,1.000000,-2000.000000,-4417.750000,17.000000,0.000000,590.020935,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
32,True,True,0.000000,1.000000,-2000.000000,-4412.689941,17.000000,0.000000,606.560974,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
33,True,True,0.000000,1.000000,-2000.000000,-4407.500000,17.000000,0.000000,622.950989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
34,True,True,0.000000,1.000000,-2000.000000,-4402.169922,17.000000,0.000000,639.200989,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000110,0.000000,0.000000
35,True,True,0.000000,1.000000,-2000.000000,-4396.709961,17.000000,0.000000,655.310974,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
36,True,True,0.000000,1.000000,-2000.000000,-4391.120117,17.000000,0.000000,671.290955,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
37,True,True,0.000000,1.000000,-2000.000000,-4385.390137,17.000000,0.000000,687.130981,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
38,True,True,0.000000,1.000000,-2000.000000,-4379.529785,17.000000,0.000000,702.830933,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
39,True,True,0.000000,1.000000,-2000.000000,-4373.540039,17.000000,0.000000,718.400940,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
40,True,True,0.000000,1.000000,-2000.000000,-4367.419922,17.000000,0.000000,733.840942,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
41,True,True,0.000000,1.000000,-2000.000000,-4361.179688,17.000000,0.000000,749.140930,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
42,True,True,0.000000,1.000000,-2000.000000,-4354.810059,17.000000,0.000000,764.310974,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
43,True,True,0.000000,1.000000,-2000.000000,-4348.319824,17.000000,0.000000,779.350952,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
44,True,True,0.000000,1.000000,-2000.000000,-4341.699707,17.000000,0.000000,794.260986,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
45,True,True,0.000000,1.000000,-2000.000000,-4334.959961,17.000000,0.000000,809.050964,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
46,True,True,0.000000,1.000000,-2000.000000,-4328.100098,17.000000,0.000000,823.710938,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
47,True,True,0.000000,1.000000,-2000.000000,-4321.109863,17.000000,0.000000,838.240967,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
48,True,True,0.000000,1.000000,-2000.000000,-4314.000000,17.000000,0.000000,852.650940,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
49,True,True,0.000000,1.000000,-2000.000000,-4306.779785,17.000000,0.000000,866.930969,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
50,True,True,0.000000,1.000000,-2000.000000,-4299.439941,17.000000,0.000000,881.090942,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
51,True,True,0.000000,1.000000,-2000.000000,-4291.979980,17.000000,0.000000,895.130981,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
52,True,True,0.000000,1.000000,-2000.000000,-4284.399902,17.000000,0.000000,909.050964,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
53,True,True,0.000000,1.000000,-2000.000000,-4276.709961,17.000000,0.000000,922.850952,0.081000,-0.003353,0.003353,0.707096,0.707102,0.000000,0.000000,0.000000
54,True,True,0.000000,1.000000,-2000.000000,-4268.909668,17.000000,0.000000,936.530945,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000110,0.000000,0.000000
55,True,True,0.000000,1.000000,-2000.000000,-4260.989746,17.000000,0.000000,950.100952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000110,0.000000,0.000000
56,True,True,0.000000,1.000000,-2000.000000,-4252.959961,17.000000,0.000000,963.550964,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000110,0.000000,0.000000
57,True,True,0.000000,1.000000,-2000.000000,-4244.819824,17.000000,0.000000,976.880981,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000110,0.000000,0.000000
58,True,True,0.000000,1.000000,-2000.000000,-4236.569824,17.000000,0.000000,990.100952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000110,0.000000,0.000000
59,True,True,0.000000,1.000000,-2000.000000,-4228.209961,17.000000,0.000000,1003.210938,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
60,True,True,0.000000,1.000000,-2000.000000,-4219.739746,17.000000,0.000000,1016.200928,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
61,True,True,0.000000,1.000000,-2000.000000,-4211.159668,17.000000,0.000000,1029.080933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
62,True,True,0.000000,1.000000,-2000.000000,-4202.479980,17.000000,0.000000,1041.850952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
63,True,True,0.000000,1.000000,-2000.000000,-4193.689941,17.000000,0.000000,1054.510986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
64,True,True,0.000000,1.000000,-2000.000000,-4184.799805,17.000000,0.000000,1067.060913,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000210,0.000000,0.000000
65,True,True,0.000000,1.000000,-2000.000000,-4175.799805,17.000000,0.000000,1079.510986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
66,True,True,0.000000,1.000000,-2000.000000,-4166.699707,17.000000,0.000000,1091.850952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
67,True,True,0.000000,1.000000,-2000.000000,-4157.500000,17.000000,0.000000,1104.080933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
68,True,True,0.000000,1.000000,-2000.000000,-4148.199707,17.000000,0.000000,1116.210938,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
69,True,True,0.000000,1.000000,-2000.000000,-4138.799805,17.000000,0.000000,1128.240967,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
70,True,True,0.000000,1.000000,-2000.000000,-4129.299805,17.000000,0.000000,1140.161011,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
71,True,True,0.000000,1.000000,-2000.000000,-4119.699707,17.000000,0.000000,1151.980957,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000310,0.000000,0.000000
72,True,True,0.000000,1.000000,-2000.000000,-4110.000000,17.000000,0.000000,1163.700928,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
73,True,True,0.000000,1.000000,-2000.000000,-4100.209961,17.000000,0.000000,1175.320923,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
74,True,True,0.000000,1.000000,-2000.000000,-4090.319824,17.000000,0.000000,1186.840942,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
75,True,True,0.000000,1.000000,-2000.000000,-4080.329834,17.000000,0.000000,1198.260986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
76,True,True,0.000000,1.000000,-2000.000000,-4070.250000,17.000000,0.000000,1209.580933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
77,True,True,0.000000,1.000000,-2000.000000,-4060.079834,17.000000,0.000000,1220.810913,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
78,True,True,0.000000,1.000000,-2000.000000,-4049.809814,17.000000,0.000000,1231.940918,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000410,0.000000,0.000000
79,True,True,0.000000,1.000000,-2000.000000,-4039.449951,17.000000,0.000000,1242.970947,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
80,True,True,0.000000,1.000000,-2000.000000,-4029.000000,17.000000,0.000000,1253.910889,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
81,True,True,0.000000,1.000000,-2000.000000,-4018.459961,17.000000,0.000000,1264.760986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
82,True,True,0.000000,1.000000,-2000.000000,-4007.829834,17.000000,0.000000,1275.510986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
83,True,True,0.000000,1.000000,-2000.000000,-3997.109863,17.000000,0.000000,1286.170898,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
84,True,True,0.000000,1.000000,-2000.000000,-3986.299805,17.000000,0.000000,1296.740967,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
85,True,True,0.000000,1.000000,-2000.000000,-3975.409912,17.000000,0.000000,1307.220947,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
86,True,True,0.000000,1.000000,-2000.000000,-3964.429932,17.000000,0.000000,1317.610962,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000510,0.000000,0.000000
87,True,True,0.000000,1.000000,-2000.000000,-3953.359863,17.000000,0.000000,1327.910889,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
88,True,True,0.000000,1.000000,-2000.000000,-3942.209961,17.000000,0.000000,1338.120972,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
89,True,True,0.000000,1.000000,-2000.000000,-3930.969971,17.000000,0.000000,1348.240967,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
90,True,True,0.000000,1.000000,-2000.000000,-3919.649902,17.000000,0.000000,1358.281006,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
91,True,True,0.000000,1.000000,-2000.000000,-3908.250000,17.000000,0.000000,1368.230957,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
92,True,True,0.000000,1.000000,-2000.000000,-3896.770020,17.000000,0.000000,1378.100952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
93,True,True,0.000000,1.000000,-2000.000000,-3885.199951,17.000000,0.000000,1387.880981,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
94,True,True,0.000000,1.000000,-2000.000000,-3873.549805,17.000000,0.000000,1397.580933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
95,True,True,0.000000,1.000000,-2000.000000,-3861.819824,17.000000,0.000000,1407.190918,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000610,0.000000,0.000000
96,True,True,0.000000,1.000000,-2000.000000,-3850.020020,17.000000,0.000000,1415.830933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000710,0.000000,0.000000
97,True,True,0.000000,1.000000,-2000.000000,-3838.149902,17.000000,0.000000,1424.090942,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
98,True,True,0.000000,1.000000,-2000.000000,-3826.209961,17.000000,0.000000,1432.350952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
99,True,True,0.000000,1.000000,-2000.000000,-3814.199951,17.000000,0.000000,1440.610962,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
100,True,True,0.000000,1.000000,-2000.000000,-3802.129883,17.000000,0.000000,1448.870972,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
101,True,True,0.000000,1.000000,-2000.000000,-3789.989990,17.000000,0.000000,1457.130981,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
102,True,True,0.000000,1.000000,-2000.000000,-3777.780029,17.000000,0.000000,1465.390991,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
103,True,True,0.000000,1.000000,-2000.000000,-3765.500000,17.000000,0.000000,1473.651001,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
104,True,True,0.000000,1.000000,-2000.000000,-3753.149902,17.000000,0.000000,1481.910889,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
105,True,True,0.000000,1.000000,-2000.000000,-3740.729980,17.000000,0.000000,1490.170898,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
106,True,True,0.000000,1.000000,-2000.000000,-3728.239990,17.000000,0.000000,1498.430908,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
107,True,True,0.000000,1.000000,-2000.000000,-3715.679932,17.000000,0.000000,1506.690918,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
108,True,True,0.000000,1.000000,-2000.000000,-3703.059814,17.000000,0.000000,1514.950928,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
109,True,True,0.000000,1.000000,-2000.000000,-3690.369873,17.000000,0.000000,1523.210938,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
110,True,True,0.000000,1.000000,-2000.000000,-3677.609863,17.000000,0.000000,1531.470947,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
111,True,True,0.000000,1.000000,-2000.000000,-3664.780029,17.000000,0.000000,1539.730957,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
112,True,True,0.000000,1.000000,-2000.000000,-3651.879883,17.000000,0.000000,1547.990967,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
113,True,True,0.000000,1.000000,-2000.000000,-3638.909912,17.000000,0.000000,1556.250977,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
114,True,True,0.000000,1.000000,-2000.000000,-3625.869873,17.000000,0.000000,1564.510986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
115,True,True,0.000000,1.000000,-2000.000000,-3612.760010,17.000000,0.000000,1572.770996,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
116,True,True,0.000000,1.000000,-2000.000000,-3599.579834,17.000000,0.000000,1581.030884,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
117,True,True,0.000000,1.000000,-2000.000000,-3586.339844,17.000000,0.000000,1589.290894,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
118,True,True,0.000000,1.000000,-2000.000000,-3573.030029,17.000000,0.000000,1597.550903,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
119,True,True,0.000000,1.000000,-2000.000000,-3559.649902,17.000000,0.000000,1605.810913,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
120,True,True,0.000000,1.000000,-2000.000000,-3546.199951,17.000000,0.000000,1614.070923,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
121,True,True,0.000000,1.000000,-2000.000000,-3532.679932,17.000000,0.000000,1622.330933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
122,True,True,0.000000,1.000000,-2000.000000,-3519.089844,17.000000,0.000000,1630.590942,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
123,True,True,0.000000,1.000000,-2000.000000,-3505.429932,17.000000,0.000000,1638.850952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
124,True,True,0.000000,1.000000,-2000.000000,-3491.699951,17.000000,0.000000,1647.110962,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
125,True,True,0.000000,1.000000,-2000.000000,-3477.909912,17.000000,0.000000,1655.370972,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
126,True,True,0.000000,1.000000,-2000.000000,-3464.049805,17.000000,0.000000,1663.630981,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
127,True,True,0.000000,1.000000,-2000.000000,-3450.119873,17.000000,0.000000,1671.890991,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
128,True,True,0.000000,1.000000,-2000.000000,-3436.119873,17.000000,0.000000,1680.150879,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
129,True,True,0.000000,1.000000,-2000.000000,-3422.049805,17.000000,0.000000,1688.410889,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
130,True,True,0.000000,1.000000,-2000.000000,-3407.909912,17.000000,0.000000,1696.670898,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
131,True,True,0.000000,1.000000,-2000.000000,-3393.699951,17.000000,0.000000,1704.930908,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
132,True,True,0.000000,1.000000,-2000.000000,-3379.419922,17.000000,0.000000,1713.190918,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
133,True,True,0.000000,1.000000,-2000.000000,-3365.069824,17.000000,0.000000,1721.450928,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
134,True,True,0.000000,1.000000,-2000.000000,-3350.659912,17.000000,0.000000,1729.710938,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
135,True,True,0.000000,1.000000,-2000.000000,-3336.179932,17.000000,0.000000,1737.970947,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
136,True,True,0.000000,1.000000,-2000.000000,-3321.629883,17.000000,0.000000,1746.230957,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
137,True,True,0.000000,1.000000,-2000.000000,-3307.010010,17.000000,0.000000,1754.490967,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
138,True,True,0.000000,1.000000,-2000.000000,-3292.319824,17.000000,0.000000,1762.750977,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
139,True,True,0.000000,1.000000,-2000.000000,-3277.559814,17.000000,0.000000,1771.010986,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
140,True,True,0.000000,1.000000,-2000.000000,-3262.729980,17.000000,0.000000,1779.270996,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
141,True,True,0.000000,1.000000,-2000.000000,-3247.829834,17.000000,0.000000,1787.530884,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
142,True,True,0.000000,1.000000,-2000.000000,-3232.859863,17.000000,0.000000,1795.790894,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
143,True,True,0.000000,1.000000,-2000.000000,-3217.829834,17.000000,0.000000,1804.050903,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
144,True,True,0.000000,1.000000,-2000.000000,-3202.729980,17.000000,0.000000,1812.310913,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
145,True,True,0.000000,1.000000,-2000.000000,-3187.559814,17.000000,0.000000,1820.570923,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
146,True,True,0.000000,1.000000,-2000.000000,-3172.319824,17.000000,0.000000,1828.830933,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
147,True,True,0.000000,1.000000,-2000.000000,-3157.010010,17.000000,0.000000,1837.090942,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
148,True,True,0.000000,1.000000,-2000.000000,-3141.629883,17.000000,0.000000,1845.350952,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
149,True,True,0.000000,1.000000,-2000.000000,-3126.179932,17.000000,0.000000,1853.610962,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
150,True,True,0.000000,1.000000,-2000.000000,-3110.659912,17.000000,0.000000,1861.870972,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
151,True,True,0.000000,1.000000,-2000.000000,-3095.079834,17.000000,0.000000,1870.130981,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
152,True,True,0.000000,1.000000,-2000.000000,-3079.429932,17.000000,0.000000,1878.390991,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
153,True,True,0.000000,1.000000,-2000.000000,-3063.709961,17.000000,0.000000,1886.650879,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
154,True,True,0.000000,1.000000,-2000.000000,-3047.919922,17.000000,0.000000,1894.910889,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
155,True,True,0.000000,1.000000,-2000.000000,-3032.059814,17.000000,0.000000,1903.170898,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
156,True,True,0.000000,1.000000,-2000.000000,-3016.129883,17.000000,0.000000,1911.430908,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
157,True,True,0.000000,1.000000,-2000.000000,-3000.129883,17.000000,0.000000,1919.690918,0.081000,-0.003353,0.003353,0.707096,0.707102,-0.000810,0.000000,0.000000
