frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,0.000000,-2983.339844,99.949997,0.000000,1999.490967,-5.411000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,0.000000,-2966.679932,99.860001,0.000000,1998.980957,-10.821000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,0.000000,-2950.030029,99.720001,0.000000,1998.470947,-16.230999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,0.000000,-2933.379883,99.540001,0.000000,1997.960938,-21.640999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,0.000000,-2916.729980,99.309998,0.000000,1997.450928,-27.050999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,0.000000,-2900.089844,99.040001,0.000000,1996.940918,-32.460999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,0.000000,-2883.449951,98.720001,0.000000,1996.430908,-37.861000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,0.000000,-2866.819824,98.360001,0.000000,1995.920898,-43.260998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,0.000000,-2850.189941,97.949997,0.000000,1995.410889,-48.660999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,0.000000,-2833.569824,97.500000,0.000000,1994.900879,-54.060997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,0.000000,-2816.949951,97.000000,0.000000,1994.390991,-59.460999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,0.000000,-2800.329834,96.459999,0.000000,1993.880981,-64.861000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,0.000000,-2783.719971,95.869995,0.000000,1993.370972,-70.261002,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,0.000000,-2767.109863,95.239998,0.000000,1992.860962,-75.651001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,0.000000,-2750.510010,94.559998,0.000000,1992.350952,-81.041000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,0.000000,-2733.909912,93.839996,0.000000,1991.840942,-86.431000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,0.000000,-2717.319824,93.070000,0.000000,1991.330933,-91.820999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,0.000000,-2701.169922,93.529999,0.000000,1937.520874,55.070999,-0.006083,0.000003,0.000003,0.999982,-1.460310,0.000000,0.000000
19,0.000000,-2685.030029,93.939995,0.000000,1937.020874,49.640999,-0.012168,0.000003,0.000003,0.999926,-1.460310,0.000000,0.000000
20,0.000000,-2668.889893,94.309998,0.000000,1936.520874,44.210999,-0.018253,0.000003,0.000003,0.999833,-1.460310,0.000000,0.000000
21,0.000000,-2652.760010,94.629997,0.000000,1936.020874,38.780998,-0.024339,0.000003,0.000003,0.999704,-1.460310,0.000000,0.000000
22,0.000000,-2636.629883,94.909996,0.000000,1935.520874,33.350998,-0.030419,0.000003,0.000003,0.999537,-1.460310,0.000000,0.000000
23,0.000000,-2620.500000,95.139999,0.000000,1935.020874,27.921000,-0.036499,0.000003,0.000003,0.999334,-1.460310,0.000000,0.000000
24,0.000000,-2604.379883,95.329994,0.000000,1934.520874,22.490999,-0.042579,0.000003,0.000003,0.999093,-1.460310,0.000000,0.000000
25,0.000000,-2588.260010,95.470001,0.000000,1934.020874,17.060999,-0.048659,0.000003,0.000003,0.998815,-1.460310,0.000000,0.000000
26,0.000000,-2572.149902,95.570000,0.000000,1933.530884,11.641000,-0.054733,0.000003,0.000003,0.998501,-1.460310,0.000000,0.000000
27,0.000000,-2556.040039,95.619995,0.000000,1933.040894,6.221000,-0.060808,0.000003,0.000003,0.998150,-1.460310,0.000000,0.000000
