frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3499.909912,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3499.909912,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3499.909912,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3499.909912,0.000000,18.779999,0.000000,0.000000,0.301000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.089844,0.000000,18.779999,21.591000,0.000000,0.341000,0.000003,-0.002414,0.000003,0.999997,0.000000,0.000710,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.449951,0.000000,18.779999,43.000999,0.000000,0.361000,0.000003,-0.002409,0.000003,0.999997,0.000000,0.000910,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3500.989990,0.000000,18.779999,64.221001,0.000000,0.381000,0.000003,-0.002403,0.000003,0.999997,0.000000,0.000910,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3501.699951,0.000000,18.779999,85.260994,0.000000,0.391000,0.000003,-0.002398,0.000003,0.999997,0.000000,0.000910,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3502.579834,0.000000,18.779999,106.120995,0.000000,0.401000,0.000003,-0.002393,0.000003,0.999997,0.000000,0.000810,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3503.639893,0.000000,18.779999,126.800995,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000710,0.000000
10,True,True,1.000000,0.000000,False,0.000000,3504.869873,0.000000,18.779999,147.311005,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000610,0.000000
11,True,True,1.000000,0.000000,False,0.000000,3506.270020,0.000000,18.779999,167.641006,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000510,0.000000
12,True,True,1.000000,0.000000,False,0.000000,3507.839844,0.000000,18.779999,187.801010,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
13,True,True,1.000000,0.000000,False,0.000000,3509.569824,0.000000,18.779999,207.781006,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
14,True,True,1.000000,0.000000,False,0.000000,3511.469971,0.000000,18.779999,227.591003,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
15,True,True,1.000000,0.000000,False,0.000000,3513.530029,0.000000,18.779999,247.231003,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
16,True,True,1.000000,0.000000,False,0.000000,3515.750000,0.000000,18.779999,266.700989,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
17,True,True,1.000000,0.000000,False,0.000000,3518.129883,0.000000,18.779999,286.010986,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
18,True,True,1.000000,0.000000,False,0.000000,3520.669922,0.000000,18.779999,305.151001,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000410,0.000000
19,True,True,1.000000,0.000000,False,0.000000,3523.369873,0.000000,18.779999,324.131012,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
20,True,True,1.000000,0.000000,False,0.000000,3526.229980,0.000000,18.779999,342.941010,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
21,True,True,1.000000,0.000000,False,0.000000,3529.239990,0.000000,18.779999,361.591003,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
22,True,True,1.000000,0.000000,False,0.000000,3532.409912,0.000000,18.779999,380.080994,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
23,True,True,1.000000,0.000000,False,0.000000,3535.729980,0.000000,18.779999,398.420990,0.000000,0.401000,0.000003,-0.002387,0.000003,0.999997,0.000000,0.000310,0.000000
