frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeRight,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,0.271000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
1,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,19.520000,-1.091000,0.000000,295.920990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000110,0.000000
2,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,22.020000,0.491000,0.000000,299.941010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
3,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,24.549999,0.071000,0.000000,303.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
4,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,27.119999,0.181000,0.000000,307.980988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
5,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,29.719999,0.151000,0.000000,312.001007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
6,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,32.349998,0.161000,0.000000,316.020996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
7,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,35.020000,0.361000,0.000000,320.040985,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
8,True,True,0.000000,0.000000,0.000000,0.000000,0.310000,0.000000,37.739998,0.561000,0.000000,326.770996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
9,True,True,0.000000,0.000000,0.000000,0.000000,0.320000,0.000000,40.520000,0.761000,0.000000,333.501007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
10,True,True,0.000000,0.000000,0.000000,0.000000,0.330000,0.000000,43.360001,0.961000,0.000000,340.230988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
11,True,True,0.000000,0.000000,0.000000,0.000000,0.340000,0.000000,46.250000,1.161000,0.000000,346.960999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
12,True,True,0.000000,0.000000,0.000000,0.000000,0.350000,0.000000,49.200001,1.361000,0.000000,353.691010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
13,True,True,0.000000,0.000000,0.000000,0.000000,0.360000,0.000000,52.199997,1.561000,0.000000,360.420990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
14,True,True,0.000000,0.000000,0.000000,0.000000,0.370000,0.000000,55.259998,1.761000,0.000000,367.151001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
15,True,True,0.000000,0.000000,0.000000,0.000000,0.390000,0.000000,58.379997,1.961000,0.000000,373.881012,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
16,True,True,0.000000,0.000000,0.000000,0.000000,0.410000,0.000000,61.549999,2.161000,0.000000,380.610992,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
17,True,True,0.000000,0.000000,0.000000,0.000000,0.430000,0.000000,64.779999,2.361000,0.000000,387.341003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
18,True,True,0.000000,0.000000,0.000000,0.000000,0.450000,0.000000,68.059998,2.561000,0.000000,394.070984,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
19,True,True,0.000000,0.000000,0.000000,0.000000,0.470000,0.000000,71.400002,2.761000,0.000000,400.800995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
20,True,True,0.000000,0.000000,0.000000,0.000000,0.490000,0.000000,74.799995,2.961000,0.000000,407.531006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
21,False,False,0.000000,0.000000,0.000000,0.000000,0.510000,0.000000,78.150002,2.961000,0.000000,402.110992,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
22,False,False,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,81.459999,2.961000,0.000000,396.691010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
23,False,False,0.000000,0.000000,0.000000,0.000000,0.550000,0.000000,84.720001,2.961000,0.000000,391.270996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
24,False,False,0.000000,0.000000,0.000000,0.000000,0.570000,0.000000,87.939995,2.961000,0.000000,385.851013,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
25,False,False,0.000000,0.000000,0.000000,0.000000,0.590000,0.000000,91.110001,2.961000,0.000000,380.431000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
26,False,False,0.000000,0.000000,0.000000,0.000000,0.610000,0.000000,94.239998,2.961000,0.000000,375.010986,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
27,False,False,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,97.320000,2.961000,0.000000,369.591003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
28,False,False,0.000000,0.000000,0.000000,0.000000,0.650000,0.000000,100.349998,2.961000,0.000000,364.170990,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
29,False,False,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,103.339996,2.961000,0.000000,358.751007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
30,False,False,0.000000,0.000000,0.000000,0.000000,0.690000,0.000000,106.279999,2.961000,0.000000,353.330994,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
31,False,False,0.000000,0.000000,0.000000,0.000000,0.710000,0.000000,109.180000,2.961000,0.000000,347.911011,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
32,False,False,0.000000,0.000000,0.000000,0.000000,0.730000,0.000000,112.029999,2.961000,0.000000,342.490997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
33,False,False,0.000000,0.000000,0.000000,0.000000,0.750000,0.000000,114.839996,2.961000,0.000000,337.071014,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
34,False,False,0.000000,0.000000,0.000000,0.000000,0.770000,0.000000,117.599998,2.961000,0.000000,331.651001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
35,False,False,0.000000,0.000000,0.000000,0.000000,0.790000,0.000000,120.320000,2.961000,0.000000,326.230988,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
36,False,False,0.000000,0.000000,0.000000,0.000000,0.810000,0.000000,122.989998,2.961000,0.000000,320.811005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
37,False,False,0.000000,0.000000,0.000000,0.000000,0.830000,0.000000,125.619995,2.961000,0.000000,315.390991,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
38,False,False,0.000000,0.000000,0.000000,0.000000,0.850000,0.000000,128.199997,2.961000,0.000000,309.971008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
39,False,False,0.000000,0.000000,0.000000,0.000000,0.870000,0.000000,130.739990,2.961000,0.000000,304.550995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
40,False,False,0.000000,0.000000,0.000000,0.000000,0.890000,0.000000,133.229996,2.961000,0.000000,299.131012,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
41,False,False,0.000000,0.000000,0.000000,0.000000,0.910000,0.000000,135.679993,2.961000,0.000000,293.710999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
42,False,False,0.000000,0.000000,0.000000,0.000000,0.930000,0.000000,138.080002,2.961000,0.000000,288.291016,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
43,False,False,0.000000,0.000000,0.000000,0.000000,0.950000,0.000000,140.440002,2.961000,0.000000,282.871002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
44,False,False,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,142.750000,2.961000,0.000000,277.450989,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
45,False,False,0.000000,0.000000,0.000000,0.000000,0.990000,0.000000,145.020004,2.961000,0.000000,272.031006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
46,False,False,0.000000,0.000000,0.000000,0.000000,1.010000,0.000000,147.239990,2.961000,0.000000,266.610992,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
47,False,False,0.000000,0.000000,0.000000,0.000000,1.030000,0.000000,149.419998,2.961000,0.000000,261.191010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
48,False,False,0.000000,0.000000,0.000000,0.000000,1.050000,0.000000,151.550003,2.961000,0.000000,255.770996,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
49,False,False,0.000000,0.000000,0.000000,0.000000,1.070000,0.000000,153.639999,2.961000,0.000000,250.350998,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
50,False,False,0.000000,0.000000,0.000000,0.000000,1.090000,0.000000,155.679993,2.961000,0.000000,244.931000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
51,False,False,0.000000,0.000000,0.000000,0.000000,1.110000,0.000000,157.679993,2.961000,0.000000,239.511002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
52,False,False,0.000000,0.000000,0.000000,0.000000,1.130000,0.000000,159.629990,2.961000,0.000000,234.091003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
53,False,False,0.000000,0.000000,0.000000,0.000000,1.150000,0.000000,161.539993,2.961000,0.000000,228.671005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
54,False,False,0.000000,0.000000,0.000000,0.000000,1.170000,0.000000,163.399994,2.961000,0.000000,223.251007,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
55,False,False,0.000000,0.000000,0.000000,0.000000,1.190000,0.000000,165.220001,2.961000,0.000000,217.831009,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
56,False,False,0.000000,0.000000,0.000000,0.000000,1.210000,0.000000,166.989990,2.961000,0.000000,212.410995,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
57,False,False,0.000000,0.000000,0.000000,0.000000,1.230000,0.000000,168.709991,2.961000,0.000000,206.990997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
58,False,False,0.000000,0.000000,0.000000,0.000000,1.250000,0.000000,170.389999,2.961000,0.000000,201.570999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
59,False,False,0.000000,0.000000,0.000000,0.000000,1.270000,0.000000,172.019989,2.961000,0.000000,196.151001,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
60,False,False,0.000000,0.000000,0.000000,0.000000,1.290000,0.000000,173.610001,2.961000,0.000000,190.731003,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
61,False,False,0.000000,0.000000,0.000000,0.000000,1.310000,0.000000,175.149994,2.961000,0.000000,185.311005,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
62,False,False,0.000000,0.000000,0.000000,0.000000,1.330000,0.000000,176.649994,2.961000,0.000000,179.891006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
63,False,False,0.000000,0.000000,0.000000,0.000000,1.350000,0.000000,178.099991,2.961000,0.000000,174.471008,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
64,False,False,0.000000,0.000000,0.000000,0.000000,1.370000,0.000000,179.509995,2.961000,0.000000,169.051010,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
65,False,False,0.000000,0.000000,0.000000,0.000000,1.390000,0.000000,180.869995,2.961000,0.000000,163.630997,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
66,False,False,0.000000,0.000000,0.000000,0.000000,1.410000,0.000000,182.190002,2.961000,0.000000,158.210999,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
67,False,False,0.000000,0.000000,0.000000,0.000000,1.430000,0.000000,183.459991,2.961000,0.000000,152.791000,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
68,False,False,0.000000,0.000000,0.000000,0.000000,1.450000,0.000000,184.690002,2.961000,0.000000,147.371002,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
69,False,False,0.000000,0.000000,0.000000,0.000000,1.470000,0.000000,185.869995,2.961000,0.000000,141.951004,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
70,False,False,0.000000,0.000000,0.000000,0.000000,1.490000,0.000000,187.009995,2.961000,0.000000,136.531006,0.000003,0.008408,0.000003,0.999965,0.000000,0.000000,0.000000
71,True,True,-1.000000,1.000000,1.000000,1.000000,4.460000,2.950000,188.099991,356.510986,353.640991,131.111008,-0.006385,0.013894,0.000375,0.999883,-1.531810,1.316610,0.101610
72,True,True,-1.000000,1.000000,1.000000,1.000000,7.430000,5.900000,189.149994,356.510986,353.640991,125.690994,-0.018901,0.024733,0.001114,0.999515,-3.002410,2.601710,0.201910
73,True,True,-1.000000,1.000000,1.000000,1.000000,10.400000,8.849999,190.149994,356.510986,353.640991,120.270996,-0.037292,0.040782,0.002215,0.998469,-4.136610,3.613710,0.281310
74,True,True,-1.000000,1.000000,1.000000,1.000000,13.370000,11.800000,191.110001,356.510986,353.640991,114.850998,-0.060182,0.060905,0.003601,0.996321,-4.122910,3.629210,0.282410
75,True,True,-1.000000,1.000000,1.000000,1.000000,16.340000,14.750000,192.019989,356.510986,353.640991,109.431000,-0.082964,0.081033,0.004987,0.993240,-4.112910,3.640510,0.282410
76,True,True,-1.000000,1.000000,1.000000,1.000000,19.309999,17.699999,192.889999,356.510986,353.640991,104.010994,-0.105628,0.101134,0.006374,0.989229,-4.105710,3.648710,0.281710
77,True,True,-1.000000,1.000000,1.000000,1.000000,22.279999,20.650000,193.709991,356.510986,353.640991,98.590996,-0.128162,0.121170,0.007755,0.984293,-4.100510,3.654710,0.280810
78,True,True,-1.000000,1.000000,1.000000,1.000000,25.250000,23.600000,194.489990,356.510986,353.640991,93.170998,-0.150556,0.141120,0.009131,0.978435,-4.096710,3.659010,0.279810
79,True,True,-1.000000,1.000000,1.000000,1.000000,28.219999,26.549999,195.220001,356.510986,353.640991,87.750999,-0.172793,0.160957,0.010496,0.971661,-4.094010,3.662110,0.278910
