frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,-0.100000,0.000000,18.779999,0.000000,0.000000,0.351000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
1,True,True,-0.100000,0.000000,21.250000,0.321000,0.000000,296.041016,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000410,0.000000
2,True,True,-0.100000,0.000000,23.750000,-0.131000,0.000000,300.061005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
3,True,True,-0.100000,0.000000,26.279999,-0.011000,0.000000,304.080994,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
4,True,True,-0.100000,0.000000,28.849998,-0.041000,0.000000,308.101013,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
5,True,True,-0.100000,0.000000,31.449999,-0.031000,0.000000,312.121002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
6,True,True,-0.100000,0.000000,34.079998,-0.031000,0.000000,316.140991,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
7,True,True,-0.100000,0.000000,36.750000,-0.081000,0.000000,320.161011,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
8,True,True,-0.100000,0.000000,39.469997,-0.131000,0.000000,326.890991,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
9,True,True,-0.100000,0.000000,42.250000,-0.181000,0.000000,333.621002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
10,True,True,-0.100000,0.000000,45.090000,-0.231000,0.000000,340.351013,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
11,True,True,-0.100000,0.000000,47.980000,-0.281000,0.000000,347.080994,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
12,True,True,-0.100000,0.000000,50.930000,-0.331000,0.000000,353.811005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
13,True,True,-0.100000,0.000000,53.930000,-0.381000,0.000000,360.540985,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
14,True,True,-0.100000,0.000000,56.989998,-0.431000,0.000000,367.270996,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
15,True,True,-0.100000,0.000000,60.109997,-0.481000,0.000000,374.001007,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
16,True,True,-0.100000,0.000000,63.279999,-0.531000,0.000000,380.730988,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
17,True,True,-0.100000,0.000000,66.510002,-0.581000,0.000000,387.460999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
18,True,True,-0.110000,0.000000,69.790001,-0.631000,0.000000,394.191010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
19,True,True,-0.120000,0.000000,73.129997,-0.681000,0.000000,400.920990,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
20,True,True,-0.130000,0.000000,76.529999,-0.731000,0.000000,407.651001,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
21,False,False,-0.140000,0.000000,79.879997,-0.731000,0.000000,402.230988,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
22,False,False,-0.150000,0.000000,83.189995,-0.731000,0.000000,396.811005,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
23,False,False,-0.160000,0.000000,86.449997,-0.731000,0.000000,391.390991,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
24,False,False,-0.170000,0.000000,89.669998,-0.731000,0.000000,385.971008,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
25,False,False,-0.180000,0.000000,92.839996,-0.731000,0.000000,380.550995,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
26,False,False,-0.190000,0.000000,95.970001,-0.731000,0.000000,375.131012,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
27,False,False,-0.200000,0.000000,99.049995,-0.731000,0.000000,369.710999,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
28,False,False,-0.210000,0.000000,102.089996,-0.731000,0.000000,364.290985,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
29,False,False,-0.220000,0.000000,105.079994,-0.731000,0.000000,358.871002,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
30,False,False,-0.230000,0.000000,108.029999,-0.731000,0.000000,353.450989,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
31,False,False,-0.240000,0.000000,110.930000,-0.731000,0.000000,348.031006,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
32,False,False,-0.250000,0.000000,113.790001,-0.731000,0.000000,342.610992,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
33,False,False,-0.260000,0.000000,116.599998,-0.731000,0.000000,337.191010,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
34,False,False,-0.270000,0.000000,119.360001,-0.731000,0.000000,331.770996,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
35,False,False,-0.280000,0.000000,122.079994,-0.731000,0.000000,326.351013,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
36,False,False,-0.290000,0.000000,124.750000,-0.731000,0.000000,320.931000,0.000003,-0.002420,0.000003,0.999997,0.000000,0.000310,0.000000
