frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-20.830000,0.000000,99.949997,-2499.360840,0.000000,-5.411000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-41.649998,0.000000,99.860001,-2498.720947,0.000000,-10.821000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-62.469997,0.000000,99.720001,-2498.080811,0.000000,-16.230999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-83.279999,0.000000,99.540001,-2497.440918,0.000000,-21.640999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-104.089996,0.000000,99.309998,-2496.801025,0.000000,-27.050999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-124.889999,0.000000,99.040001,-2496.160889,0.000000,-32.460999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-145.690002,0.000000,98.720001,-2495.520996,0.000000,-37.861000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-166.479996,0.000000,98.360001,-2494.880859,0.000000,-43.260998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-187.269989,0.000000,97.949997,-2494.240967,0.000000,-48.660999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-208.049988,0.000000,97.500000,-2493.600830,0.000000,-54.060997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-228.819992,0.000000,97.000000,-2492.960938,0.000000,-59.460999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-249.589996,0.000000,96.459999,-2492.320801,0.000000,-64.861000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-270.350006,0.000000,95.869995,-2491.680908,0.000000,-70.261002,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-291.109985,0.000000,95.239998,-2491.041016,0.000000,-75.651001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-311.859985,0.000000,94.559998,-2490.400879,0.000000,-81.041000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-332.609985,0.000000,93.839996,-2489.760986,0.000000,-86.431000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-353.350006,0.000000,93.070000,-2489.120850,0.000000,-91.820999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,-373.639984,0.000000,93.529999,-2435.180908,0.000000,55.070999,0.000003,-0.006083,0.000003,0.999981,0.000000,-1.460310,0.000000
19,-393.929993,0.000000,93.939995,-2434.561035,0.000000,49.640999,0.000003,-0.012168,0.000003,0.999926,0.000000,-1.460310,0.000000
20,-414.209991,0.000000,94.309998,-2433.940918,0.000000,44.210999,0.000003,-0.018253,0.000003,0.999833,0.000000,-1.460310,0.000000
21,-434.489990,0.000000,94.629997,-2433.320801,0.000000,38.780998,0.000003,-0.024339,0.000003,0.999704,0.000000,-1.460310,0.000000
22,-454.759979,0.000000,94.909996,-2432.700928,0.000000,33.350998,0.000003,-0.030419,0.000003,0.999537,0.000000,-1.460310,0.000000
23,-475.029999,0.000000,95.139999,-2432.080811,0.000000,27.921000,0.000003,-0.036499,0.000003,0.999334,0.000000,-1.460310,0.000000
24,-495.289978,0.000000,95.329994,-2431.460938,0.000000,22.490999,0.000003,-0.042579,0.000003,0.999093,0.000000,-1.460310,0.000000
25,-515.549988,0.000000,95.470001,-2430.840820,0.000000,17.060999,0.000003,-0.048659,0.000003,0.998815,0.000000,-1.460310,0.000000
26,-535.799988,0.000000,95.570000,-2430.220947,0.000000,11.641000,0.000003,-0.054733,0.000003,0.998501,0.000000,-1.460310,0.000000
27,-556.049988,0.000000,95.619995,-2429.600830,0.000000,6.221000,0.000003,-0.060808,0.000003,0.998150,0.000000,-1.460310,0.000000
28,-576.289978,0.000000,95.629997,-2428.980957,0.000000,0.801000,0.000003,-0.066882,0.000003,0.997761,0.000000,-1.460310,0.000000
29,-596.529968,0.000000,95.589996,-2428.360840,0.000000,-4.611000,0.000003,-0.072951,0.000003,0.997335,0.000000,-1.460310,0.000000
30,-616.760010,0.000000,95.509995,-2427.740967,0.000000,-10.021000,0.000003,-0.079021,0.000003,0.996873,0.000000,-1.460310,0.000000
31,-636.989990,0.000000,95.379997,-2427.120850,0.000000,-15.431000,0.000003,-0.085084,0.000003,0.996374,0.000000,-1.460310,0.000000
32,-657.209961,0.000000,95.209999,-2426.500977,0.000000,-20.841000,0.000003,-0.091143,0.000003,0.995838,0.000000,-1.460310,0.000000
33,-677.429993,0.000000,94.989998,-2425.880859,0.000000,-26.250999,0.000003,-0.097201,0.000003,0.995265,0.000000,-1.460310,0.000000
34,-697.640015,0.000000,94.729996,-2425.260986,0.000000,-31.660999,0.000003,-0.103254,0.000003,0.994655,0.000000,-1.460310,0.000000
35,-717.849976,0.000000,94.419998,-2424.640869,0.000000,-37.060997,0.000003,-0.109302,0.000003,0.994009,0.000000,-1.460310,0.000000
36,-738.049988,0.000000,94.070000,-2424.020996,0.000000,-42.460999,0.000003,-0.115349,0.000003,0.993325,0.000000,-1.460310,0.000000
37,-758.250000,0.000000,93.669998,-2423.400879,0.000000,-47.861000,0.000003,-0.121391,0.000003,0.992605,0.000000,-1.460310,0.000000
38,-778.440002,0.000000,93.229996,-2422.781006,0.000000,-53.260998,0.000003,-0.127428,0.000003,0.991848,0.000000,-1.460310,0.000000
39,-798.619995,0.000000,92.739998,-2422.160889,0.000000,-58.660999,0.000003,-0.133460,0.000003,0.991054,0.000000,-1.460310,0.000000
40,-818.510010,0.000000,93.029999,-2386.801025,0.000000,35.181000,0.000003,-0.143413,0.000003,0.989663,0.000000,-2.412010,0.000000
41,-838.389954,0.000000,93.279999,-2386.190918,0.000000,29.750999,0.000003,-0.153350,0.000003,0.988172,0.000000,-2.412010,0.000000
