frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,0.321000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,0.321000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,0.321000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3500.329834,0.000000,17.049999,0.000000,0.000000,0.321000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000410,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.510010,0.000000,17.049999,21.591000,0.000000,0.181000,0.000003,0.008402,0.000003,0.999965,0.000000,-0.001510,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.869873,0.000000,17.049999,43.000999,0.000000,0.081000,0.000003,0.008392,0.000003,0.999965,0.000000,-0.002110,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3501.409912,0.000000,17.049999,64.221001,0.000000,0.021000,0.000003,0.008381,0.000003,0.999965,0.000000,-0.002410,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3502.119873,0.000000,17.049999,85.260994,0.000000,-0.021000,0.000003,0.008370,0.000003,0.999965,0.000000,-0.002510,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3503.000000,0.000000,17.049999,106.120995,0.000000,-0.051000,0.000003,0.008359,0.000003,0.999965,0.000000,-0.002610,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3504.059814,0.000000,17.049999,126.800995,0.000000,-0.071000,0.000003,0.008348,0.000003,0.999965,0.000000,-0.002610,0.000000
10,True,True,1.000000,0.000000,False,0.000000,3505.290039,0.000000,17.049999,147.311005,0.000000,-0.081000,0.000003,0.008338,0.000003,0.999965,0.000000,-0.002510,0.000000
11,True,True,1.000000,0.000000,False,0.000000,3506.689941,0.000000,17.049999,167.641006,0.000000,-0.091000,0.000003,0.008327,0.000003,0.999965,0.000000,-0.002310,0.000000
12,True,True,1.000000,0.000000,False,0.000000,3508.260010,0.000000,17.049999,187.801010,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,-0.002110,0.000000
13,True,True,1.000000,0.000000,False,0.000000,3509.989990,0.000000,17.049999,207.781006,0.000000,-0.101000,0.000003,0.008311,0.000003,0.999966,0.000000,-0.001810,0.000000
14,True,True,1.000000,0.000000,False,0.000000,3511.889893,0.000000,17.049999,227.591003,0.000000,-0.101000,0.000003,0.008305,0.000003,0.999966,0.000000,-0.001510,0.000000
15,True,True,1.000000,0.000000,False,0.000000,3513.949951,0.000000,17.049999,247.231003,0.000000,-0.101000,0.000003,0.008300,0.000003,0.999966,0.000000,-0.001310,0.000000
16,True,True,1.000000,0.000000,False,0.000000,3516.169922,0.000000,17.049999,266.700989,0.000000,-0.101000,0.000003,0.008294,0.000003,0.999966,0.000000,-0.001010,0.000000
17,True,True,1.000000,0.000000,False,0.000000,3518.549805,0.000000,17.049999,286.010986,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,-0.000710,0.000000
18,True,True,1.000000,0.000000,False,0.000000,3521.089844,0.000000,17.049999,305.151001,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,-0.000410,0.000000
19,True,True,1.000000,0.000000,False,0.000000,3523.790039,0.000000,17.049999,324.131012,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,-0.000210,0.000000
20,True,True,1.000000,0.000000,False,0.000000,3526.649902,0.000000,17.049999,342.941010,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000000,0.000000
21,True,True,1.000000,0.000000,False,0.000000,3529.659912,0.000000,17.049999,361.591003,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000000,0.000000
22,True,True,1.000000,0.000000,False,0.000000,3532.829834,0.000000,17.049999,380.080994,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000000,0.000000
23,True,True,1.000000,0.000000,False,0.000000,3536.149902,0.000000,17.049999,398.411011,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000110,0.000000
24,True,True,1.000000,0.000000,False,0.000000,3539.619873,0.000000,17.049999,416.591003,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000210,0.000000
25,True,True,1.000000,0.000000,False,0.000000,3543.239990,0.000000,17.049999,434.610992,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000210,0.000000
26,True,True,1.000000,0.000000,False,0.000000,3547.010010,0.000000,17.049999,452.480988,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000310,0.000000
27,True,True,1.000000,0.000000,False,0.000000,3550.929932,0.000000,17.049999,470.191010,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000310,0.000000
28,True,True,1.000000,0.000000,False,0.000000,3554.989990,0.000000,17.049999,487.751007,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000410,0.000000
29,True,True,1.000000,0.000000,False,0.000000,3559.199951,0.000000,17.049999,505.161011,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000510,0.000000
30,True,True,1.000000,0.000000,False,0.000000,3563.549805,0.000000,17.049999,522.420959,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000510,0.000000
31,True,True,1.000000,0.000000,False,0.000000,3568.049805,0.000000,17.049999,539.530945,0.000000,-0.101000,0.000003,0.008289,0.000003,0.999966,0.000000,0.000610,0.000000
32,True,True,1.000000,0.000000,False,0.000000,3572.689941,0.000000,17.049999,556.500977,0.000000,-0.101000,0.000003,0.008294,0.000003,0.999966,0.000000,0.000610,0.000000
33,True,True,1.000000,0.000000,False,0.000000,3577.469971,0.000000,17.049999,573.320984,0.000000,-0.101000,0.000003,0.008300,0.000003,0.999966,0.000000,0.000610,0.000000
34,True,True,1.000000,0.000000,False,0.000000,3582.389893,0.000000,17.049999,590.000977,0.000000,-0.101000,0.000003,0.008300,0.000003,0.999966,0.000000,0.000610,0.000000
35,True,True,1.000000,0.000000,False,0.000000,3587.439941,0.000000,17.049999,606.540955,0.000000,-0.101000,0.000003,0.008300,0.000003,0.999966,0.000000,0.000610,0.000000
36,True,True,1.000000,0.000000,False,0.000000,3592.629883,0.000000,17.049999,622.930969,0.000000,-0.101000,0.000003,0.008300,0.000003,0.999966,0.000000,0.000610,0.000000
37,True,True,1.000000,0.000000,False,0.000000,3597.959961,0.000000,17.049999,639.180969,0.000000,-0.101000,0.000003,0.008305,0.000003,0.999966,0.000000,0.000610,0.000000
38,True,True,1.000000,0.000000,False,0.000000,3603.419922,0.000000,17.049999,655.290955,0.000000,-0.101000,0.000003,0.008305,0.000003,0.999966,0.000000,0.000610,0.000000
39,True,True,1.000000,0.000000,False,0.000000,3609.010010,0.000000,17.049999,671.270935,0.000000,-0.101000,0.000003,0.008305,0.000003,0.999966,0.000000,0.000610,0.000000
40,True,True,1.000000,0.000000,False,0.000000,3614.739990,0.000000,17.049999,687.110962,0.000000,-0.101000,0.000003,0.008305,0.000003,0.999966,0.000000,0.000610,0.000000
41,True,True,1.000000,0.000000,False,0.000000,3620.599854,0.000000,17.049999,702.810974,0.000000,-0.101000,0.000003,0.008311,0.000003,0.999966,0.000000,0.000610,0.000000
42,True,True,1.000000,0.000000,False,0.000000,3626.589844,0.000000,17.049999,718.380981,0.000000,-0.101000,0.000003,0.008311,0.000003,0.999966,0.000000,0.000610,0.000000
43,True,True,1.000000,0.000000,False,0.000000,3632.699951,0.000000,17.049999,733.820984,0.000000,-0.101000,0.000003,0.008311,0.000003,0.999966,0.000000,0.000610,0.000000
44,True,True,1.000000,0.000000,False,0.000000,3638.939941,0.000000,17.049999,749.120972,0.000000,-0.101000,0.000003,0.008311,0.000003,0.999966,0.000000,0.000610,0.000000
45,True,True,1.000000,0.000000,False,0.000000,3645.309814,0.000000,17.049999,764.290955,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000610,0.000000
46,True,True,1.000000,0.000000,False,0.000000,3651.799805,0.000000,17.049999,779.330933,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
47,True,True,1.000000,0.000000,False,0.000000,3658.419922,0.000000,17.049999,794.240967,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
48,True,True,1.000000,0.000000,False,0.000000,3665.159912,0.000000,17.049999,809.030945,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
49,True,True,1.000000,0.000000,False,0.000000,3672.020020,0.000000,17.049999,823.690979,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
50,True,True,1.000000,0.000000,False,0.000000,3679.010010,0.000000,17.049999,838.220947,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
51,True,True,1.000000,0.000000,False,0.000000,3686.119873,0.000000,17.049999,852.630981,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
52,True,True,1.000000,0.000000,False,0.000000,3693.339844,0.000000,17.049999,866.910950,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
53,True,True,1.000000,0.000000,False,0.000000,3700.679932,0.000000,17.049999,881.070984,0.000000,-0.101000,0.000003,0.008316,0.000003,0.999965,0.000000,0.000510,0.000000
