frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,input.DodgeForward,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.000000,False,False,0.000000,-4499.659668,17.049999,0.000000,-0.011000,0.321000,-0.005948,0.005948,0.707074,0.707089,0.000510,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4499.479980,17.049999,0.000000,21.580999,0.181000,-0.005942,0.005942,0.707074,0.707089,0.001610,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4499.120117,17.049999,0.000000,42.990997,0.081000,-0.005937,0.005937,0.707074,0.707089,0.002210,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4498.580078,17.049999,0.000000,64.210999,0.021000,-0.005932,0.005932,0.707074,0.707089,0.002510,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4497.870117,17.049999,0.000000,85.250999,-0.021000,-0.005926,0.005926,0.707074,0.707089,0.002710,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4496.989746,17.049999,0.000000,106.111000,-0.051000,-0.005915,0.005915,0.707074,0.707090,0.002810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4495.929688,17.049999,0.000000,126.791000,-0.071000,-0.005905,0.005905,0.707074,0.707090,0.002810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4494.699707,17.049999,0.000000,147.301010,-0.081000,-0.005899,0.005899,0.707074,0.707090,0.002610,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4493.299805,17.049999,0.000000,167.630997,-0.091000,-0.005894,0.005894,0.707074,0.707090,0.002410,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4491.729980,17.049999,0.000000,187.791000,-0.101000,-0.005888,0.005888,0.707074,0.707090,0.002210,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4490.000000,17.049999,0.000000,207.770996,-0.111000,-0.005883,0.005883,0.707074,0.707090,0.002010,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,True,True,1.000000,0.000000,0.000000,False,False,0.000000,-4488.100098,17.049999,0.000000,227.581009,-0.111000,-0.005878,0.005878,0.707074,0.707090,0.001810,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
