frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,8.441000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000410,0.000000
1,True,True,0.000000,0.000000,0.140000,0.000000,21.170000,-0.491000,0.000000,304.121002,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
2,True,True,0.000000,0.000000,0.140000,0.000000,23.740000,0.101000,0.000000,308.140991,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
3,True,True,0.000000,0.000000,0.140000,0.000000,26.340000,-0.051000,0.000000,312.161011,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
4,True,True,0.000000,0.000000,0.140000,0.000000,28.969999,-0.011000,0.000000,316.181000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
5,True,True,0.000000,0.000000,0.140000,0.000000,31.639999,-0.021000,0.000000,320.200989,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
6,True,True,0.000000,0.000000,0.140000,0.000000,34.340000,0.051000,0.000000,324.221008,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
7,True,True,0.000000,0.000000,0.140000,0.000000,37.099998,0.121000,0.000000,330.950989,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
8,True,True,0.000000,0.000000,0.140000,0.000000,39.910000,0.191000,0.000000,337.681000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
9,True,True,0.000000,0.000000,0.140000,0.000000,42.779999,0.261000,0.000000,344.411011,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
10,True,True,0.000000,0.000000,0.140000,0.000000,45.709999,0.331000,0.000000,351.140991,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000310,0.000000
