frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.180000,0.000000,17.000000,0.000000,0.000000,8.411000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000310,0.000000
1,True,True,0.200000,0.000000,19.529999,-0.771000,0.000000,304.091003,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
2,False,False,0.190000,0.000000,22.100000,0.161000,0.000000,308.110992,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000110,0.000000
3,False,False,0.190000,0.000000,24.699999,-0.071000,0.000000,312.131012,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
4,False,False,0.190000,0.000000,27.230000,0.011000,0.000000,304.001007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
5,False,False,0.190000,0.000000,29.699999,0.000000,0.000000,295.871002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
6,False,False,0.190000,0.000000,32.099998,0.000000,0.000000,287.740997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
7,False,False,0.190000,0.000000,34.450001,0.000000,0.000000,282.321014,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
8,False,False,0.190000,0.000000,36.759998,0.000000,0.000000,276.901001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
9,False,False,0.190000,0.000000,39.020000,0.000000,0.000000,271.480988,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
10,False,False,0.190000,0.000000,41.239998,0.000000,0.000000,266.061005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
11,False,False,0.190000,0.000000,43.410000,0.000000,0.000000,260.640991,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
12,False,False,0.190000,0.000000,45.539997,0.000000,0.000000,255.221008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
13,False,False,0.190000,0.000000,47.619999,0.000000,0.000000,249.800995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
14,False,False,0.190000,0.000000,49.660000,0.000000,0.000000,244.380997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
15,False,False,0.190000,0.000000,51.649998,0.000000,0.000000,238.960999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
16,False,False,0.190000,0.000000,53.599998,0.000000,0.000000,233.541000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
17,False,False,0.190000,0.000000,55.500000,0.000000,0.000000,228.121002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
18,False,False,0.190000,0.000000,57.360001,0.000000,0.000000,222.701004,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
19,False,False,0.190000,0.000000,59.169998,0.000000,0.000000,217.281006,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
20,False,False,0.190000,0.000000,60.939999,0.000000,0.000000,211.861008,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
21,False,False,0.190000,0.000000,62.660000,0.000000,0.000000,206.441010,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
22,False,False,0.190000,0.000000,64.339996,0.000000,0.000000,201.020996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
23,False,False,0.190000,0.000000,65.970001,0.000000,0.000000,195.600998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
24,False,False,0.190000,0.000000,67.549995,0.000000,0.000000,190.181000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
25,False,False,0.190000,0.000000,69.089996,0.000000,0.000000,184.761002,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
26,False,False,0.190000,0.000000,70.580002,0.000000,0.000000,179.341003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
27,False,False,0.190000,0.000000,72.029999,0.000000,0.000000,173.921005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
28,False,False,0.190000,0.000000,73.430000,0.000000,0.000000,168.501007,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
29,False,False,0.190000,0.000000,74.790001,0.000000,0.000000,163.081009,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
30,False,False,0.190000,0.000000,76.099998,0.000000,0.000000,157.661011,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
31,False,False,0.190000,0.000000,77.369995,0.000000,0.000000,152.240997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
32,False,False,0.190000,0.000000,78.589996,0.000000,0.000000,146.820999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
33,False,False,0.190000,0.000000,79.769997,0.000000,0.000000,141.401001,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
34,False,False,0.190000,0.000000,80.900002,0.000000,0.000000,135.981003,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
35,False,False,0.190000,0.000000,81.989998,0.000000,0.000000,130.561005,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
36,False,False,0.190000,0.000000,83.029999,0.000000,0.000000,125.140999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
37,False,False,0.190000,0.000000,84.029999,0.000000,0.000000,119.720993,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
38,False,False,0.190000,0.000000,84.979996,0.000000,0.000000,114.300995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
39,False,False,0.190000,0.000000,85.889999,0.000000,0.000000,108.880997,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
40,False,False,0.190000,0.000000,86.750000,0.000000,0.000000,103.460999,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
41,False,False,0.190000,0.000000,87.570000,0.000000,0.000000,98.041000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
42,False,False,0.190000,0.000000,88.339996,0.000000,0.000000,92.620995,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
43,False,False,0.190000,0.000000,89.070000,0.000000,0.000000,87.200996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
44,False,False,0.190000,0.000000,89.750000,0.000000,0.000000,81.780998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
45,False,False,0.190000,0.000000,90.389999,0.000000,0.000000,76.361000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
46,False,False,0.190000,0.000000,90.979996,0.000000,0.000000,70.940994,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
47,False,False,0.190000,0.000000,91.529999,0.000000,0.000000,65.520996,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
48,False,False,0.190000,0.000000,92.029999,0.000000,0.000000,60.100998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
49,False,False,0.190000,0.000000,92.489998,0.000000,0.000000,54.681000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
50,False,False,0.190000,0.000000,92.900002,0.000000,0.000000,49.260998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
51,False,False,0.190000,0.000000,93.269997,0.000000,0.000000,43.841000,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
52,False,False,0.190000,0.000000,93.589996,0.000000,0.000000,38.420998,0.000003,0.004799,0.000003,0.999988,0.000000,0.000000,0.000000
